name,row_count,n_columns
View_AltnameData,208630,12
View_AssociationData,189970,48
View_BiogAddrData,460772,37
View_BiogInstAddrData,567,39
View_BiogInstData,567,35
View_BiogSourceData,1253092,13
View_BiogTextData,53289,13
View_EntryData,264775,64
View_EventAddrData,4,26
View_EventData,427,30
View_KinAddrData,561461,17
View_PeopleAddrData,661124,13
View_PeopleData,661124,91
View_PossessionsAddrData,66,28
View_PossessionsData,66,26
View_PostingAddrData,464879,6
View_PostingOfficeData,590866,56
View_StatusData,73250,27
