algorithm,population,baseline_feature_set,extension_feature_set,feature_block,comparison_type,split_protocol,evaluation_split,n_test,baseline_roc_auc,extension_roc_auc,delta_roc_auc,baseline_pr_auc,extension_pr_auc,delta_pr_auc,baseline_log_loss,extension_log_loss,delta_log_loss,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_pr_auc_ci_low,delta_pr_auc_ci_high,delta_log_loss_ci_low,delta_log_loss_ci_high,bootstrap_resamples
CatBoost,Global,M0,M0b,safe_birth_cohort,nested,primary,test,99307,0.7397078653570248,0.7850938940347647,0.04538602867773989,0.5062324195327685,0.5820325247066837,0.07580010517391511,0.5840312594705276,0.5026320377673485,-0.08139922170317904,0.043636765737311185,0.04697512912996016,0.07288485095272182,0.07860813173419576,-0.08318858821145117,-0.07953671382902601,500
CatBoost,Global,M0,M5,documentation_only,benchmark,primary,test,99307,0.7397078653570248,0.8518772910188245,0.11216942566179966,0.5062324195327685,0.6818061948931599,0.17557377536039132,0.5840312594705276,0.45787179934665784,-0.12615946012386975,0.10895808493274597,0.11494107893683753,0.17160305986981672,0.17922370446860994,-0.12942162644083632,-0.12262985799829129,500
CatBoost,Global,M0b,M1,personal,nested,primary,test,99307,0.7850938940347647,0.8312875786355781,0.04619368460081341,0.5820325247066837,0.6396569166471665,0.057624391940482855,0.5026320377673485,0.45441173421637143,-0.04822030355097712,0.04497082657265125,0.047387664331669105,0.05588295788083914,0.05929724999573035,-0.04940639746514089,-0.04686789412892669,500
CatBoost,Global,M1,M2,geography,nested,primary,test,99307,0.8312875786355781,0.9053414749703593,0.07405389633478121,0.6396569166471665,0.8314751427697115,0.19181822612254495,0.45441173421637143,0.3531939114247947,-0.1012178227915767,0.07234345183007201,0.07569996312258266,0.18881169543040466,0.19502433950386694,-0.1033218269583724,-0.09896467221636414,500
CatBoost,Global,M2,M3,family_structure,nested,primary,test,99307,0.9053414749703593,0.9286572920536603,0.023315817083300994,0.8314751427697115,0.8677222381994363,0.03624709542972482,0.3531939114247947,0.3348606207695473,-0.018333290655247414,0.02241374383717747,0.024329346483646732,0.03411749767664185,0.03815866735739854,-0.020344271834814742,-0.016514689245434196,500
CatBoost,Global,M3,M4,family_capital,nested,primary,test,99307,0.9286572920536603,0.9293126540993712,0.0006553620457109277,0.8677222381994363,0.8685906769398187,0.000868438740382449,0.3348606207695473,0.3331596113572059,-0.0017010094123414143,0.00042789047645834803,0.0008869229538221918,0.0004686851074990452,0.0012876921531952046,-0.002155834044486941,-0.00127592034107879,500
CatBoost,Global,M4,M6,documentation_addition,nested,primary,test,99307,0.9293126540993712,0.937449963274869,0.008137309175497709,0.8685906769398187,0.8830972880451842,0.014506611105365441,0.3331596113572059,0.3139990843073898,-0.01916052704981608,0.007562584663632801,0.00868238411552621,0.013236710282468903,0.015648883223151586,-0.020278884225845357,-0.017964147388747156,500
CatBoost,Ming,M0,M0b,safe_birth_cohort,nested,primary,test,33812,0.5,0.6353996246953783,0.13539962469537825,0.19927836271146337,0.40572419281214595,0.20644583010068257,0.49940039367614536,0.581138868190644,0.08173847451449862,0.12980675045919793,0.14108029608965264,0.19678680619353114,0.21620857727207268,0.07862151984348055,0.08502123330644015,500
CatBoost,Ming,M0,M5,documentation_only,benchmark,primary,test,33812,0.5,0.7978170511334293,0.29781705113342927,0.19927836271146337,0.5327161655973157,0.33343780288585234,0.49940039367614536,0.49693540641665995,-0.002464987259485407,0.292308003305497,0.3030601254615797,0.3231393045024495,0.34348746398785185,-0.007372907578344779,0.0023336288618235846,500
CatBoost,Ming,M0b,M1,personal,nested,primary,test,33812,0.6353996246953783,0.7160943612148125,0.08069473651943426,0.40572419281214595,0.43712059403232806,0.03139640122018211,0.581138868190644,0.3879644626680221,-0.19317440552262188,0.07851285809504692,0.08277397165301355,0.03034905393528849,0.03228399938717351,-0.19533507450794563,-0.19097991845153026,500
