analysis,algorithm,population,feature_set,split_protocol,evaluation_split,n_test,roc_auc,pr_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,bootstrap_resamples
primary_model,CatBoost,Global,M0,primary,test,99307,0.7397078653570248,0.5062324195327685,0.7367783227069876,0.7428583867461535,0.503253971588474,0.5096495661239286,500
primary_model,CatBoost,Global,M0b,primary,test,99307,0.7850938940347647,0.5820325247066837,0.78211810561523,0.787986648427941,0.5781067453924434,0.5857706955366369,500
primary_model,CatBoost,Global,M1,primary,test,99307,0.8312875786355781,0.6396569166471665,0.8288470209660401,0.8337036719126607,0.6354368699365978,0.6433364150908898,500
primary_model,CatBoost,Global,M2,primary,test,99307,0.9053414749703593,0.8314751427697115,0.9033567574412886,0.9072403458090811,0.8279089794165613,0.8350557454729257,500
primary_model,CatBoost,Global,M3,primary,test,99307,0.9286572920536603,0.8677222381994363,0.9270929311694103,0.9302133100223231,0.8648062590150413,0.8706968453674895,500
primary_model,CatBoost,Global,M4,primary,test,99307,0.9293126540993712,0.8685906769398187,0.9276977477099436,0.9310461845770561,0.8657020298933163,0.8715167537985342,500
primary_model,CatBoost,Global,M5,primary,test,99307,0.8518772910188245,0.6818061948931599,0.8494251131253483,0.8540252742695249,0.6779235922512327,0.6857429895787388,500
primary_model,CatBoost,Global,M6,primary,test,99307,0.937449963274869,0.8830972880451842,0.9359326951560732,0.9389785382565129,0.8802429737817091,0.8860462627158884,500
primary_model,CatBoost,Ming,M0,primary,test,33812,0.5,0.19927836271146337,0.5,0.5,0.19927836271146337,0.19927836271146337,500
primary_model,CatBoost,Ming,M0b,primary,test,33812,0.6353996246953783,0.40572419281214595,0.6300978955898779,0.6410075650866671,0.3966454845886396,0.4152645916978855,500
primary_model,CatBoost,Ming,M1,primary,test,33812,0.7160943612148125,0.43712059403232806,0.7110799002274978,0.7206592793794732,0.42757940750547796,0.44610058775788974,500
primary_model,CatBoost,Ming,M2,primary,test,33812,0.8169284087609846,0.6762010345200384,0.811130863334384,0.8221861597682883,0.6671072540425014,0.6846662226526153,500
primary_model,CatBoost,Ming,M3,primary,test,33812,0.9114348452060844,0.7921249995914902,0.9076044908211179,0.9150039428342048,0.7843304485769551,0.7992591922417452,500
primary_model,CatBoost,Ming,M4,primary,test,33812,0.9123678251265788,0.793525939968536,0.9089204748452474,0.9160277623339552,0.7860906621717128,0.8010605852717977,500
primary_model,CatBoost,Ming,M5,primary,test,33812,0.7978170511334293,0.5327161655973157,0.7927287140125587,0.8029165762320493,0.5232420642407504,0.5423913927056917,500
primary_model,CatBoost,Ming,M6,primary,test,33812,0.9170144130551858,0.8015169579763533,0.9135941876088519,0.9207667305467532,0.7945794330393628,0.8092392080070822,500
primary_model,CatBoost,Song,M0,primary,test,12508,0.5,0.48273105212663897,0.5,0.5,0.48273105212663897,0.48273105212663897,500
primary_model,CatBoost,Song,M0b,primary,test,12508,0.526373629045924,0.50696708158673,0.5216929478194002,0.5309833240583978,0.5023140749900199,0.5117849171063678,500
primary_model,CatBoost,Song,M1,primary,test,12508,0.569203775368058,0.5319542640985114,0.5640637538121521,0.5747207305816383,0.5273662934273653,0.5368969744611365,500
primary_model,CatBoost,Song,M2,primary,test,12508,0.8719199833307139,0.8466230223909261,0.8657570900781398,0.8778177173112278,0.8382404047913254,0.855068045529144,500
primary_model,CatBoost,Song,M3,primary,test,12508,0.91636355887212,0.9090734989188977,0.9112259649473992,0.9211033783718059,0.9029228521355374,0.9152542062800507,500
primary_model,CatBoost,Song,M4,primary,test,12508,0.9185493676575915,0.9117028447079614,0.914014379499133,0.9232779097273169,0.9058276052106206,0.9171081587166876,500
primary_model,CatBoost,Song,M5,primary,test,12508,0.9150491247344867,0.8971840465657248,0.9100716632758116,0.919935223491816,0.8913392769534862,0.9030448166089686,500
primary_model,CatBoost,Song,M6,primary,test,12508,0.9396095593441436,0.9412052728371534,0.9353140056304917,0.9439994179060693,0.9367887276938412,0.9456742509167329,500
primary_model,LogisticRegression,Global,M0,primary,test,99307,0.7398182250893919,0.5064089578613011,0.7369011951000843,0.7426315579028269,0.5033238343095892,0.5095555649957851,500
primary_model,LogisticRegression,Global,M0b,primary,test,99307,0.7841859235793645,0.5810439564944321,0.7819067790782159,0.7872994833890152,0.5777234797242354,0.5849558902452335,500
primary_model,LogisticRegression,Global,M1,primary,test,99307,0.8296641593648573,0.638489621407497,0.8271277926334332,0.8321274927467217,0.6346409459438802,0.6423274129025498,500
primary_model,LogisticRegression,Global,M2,primary,test,99307,0.9004174541478395,0.8208489553562488,0.8983655969163986,0.9022544622058422,0.8172758188312996,0.8242998920607673,500
primary_model,LogisticRegression,Global,M3,primary,test,99307,0.9131125806026938,0.8437308621872195,0.9113174229264923,0.9150171116721516,0.8402147438546282,0.8470016803103086,500
primary_model,LogisticRegression,Global,M4,primary,test,99307,0.9137733618084741,0.8444805392060197,0.9120333563680578,0.9155487808478363,0.8410157027586461,0.8477346397674905,500
primary_model,LogisticRegression,Global,M5,primary,test,99307,0.8228903722789571,0.6285875571398801,0.8203048695061377,0.825468874045699,0.6249496287237956,0.632337004593465,500
primary_model,LogisticRegression,Global,M6,primary,test,99307,0.9160384610622774,0.8435958925187247,0.9140790772687292,0.9180164827450109,0.8399208123359801,0.8471303164935388,500
primary_model,LogisticRegression,Ming,M0,primary,test,33812,0.5,0.19927836271146337,0.5,0.5,0.19927836271146337,0.19927836271146337,500
primary_model,LogisticRegression,Ming,M0b,primary,test,33812,0.6354331590958789,0.4071544403376419,0.6302988901930623,0.6406193824740052,0.3985818164672186,0.4162278642936307,500
primary_model,LogisticRegression,Ming,M1,primary,test,33812,0.7160004950428509,0.4383333856575643,0.7111508391888481,0.7209346462800754,0.429366742314373,0.44669384442028254,500
primary_model,LogisticRegression,Ming,M2,primary,test,33812,0.8156845223275027,0.6710001117458189,0.8092711972576377,0.8214394470659474,0.6618014338942141,0.6810114892983316,500
primary_model,LogisticRegression,Ming,M3,primary,test,33812,0.8974794941594834,0.7720357091391514,0.8930047387876587,0.9018364016035293,0.764507342343036,0.7790681372323267,500
primary_model,LogisticRegression,Ming,M4,primary,test,33812,0.8978349039876263,0.7726812762050065,0.8934210958469793,0.9016641470916216,0.765145861612078,0.7796827230630946,500
primary_model,LogisticRegression,Ming,M5,primary,test,33812,0.7819152878340779,0.4535896295188804,0.7761262013812039,0.7871283629892001,0.4431899594570216,0.4637364116962143,500
primary_model,LogisticRegression,Ming,M6,primary,test,33812,0.9020575661139407,0.776509717638805,0.8980745705930294,0.9060195345242121,0.7690974523158198,0.7834641100325394,500
primary_model,LogisticRegression,Song,M0,primary,test,12508,0.5,0.48273105212663897,0.5,0.5,0.48273105212663897,0.48273105212663897,500
primary_model,LogisticRegression,Song,M0b,primary,test,12508,0.527043203451812,0.508076002753328,0.5224433159157381,0.5314928562304785,0.5033389453315636,0.5128397613353411,500
primary_model,LogisticRegression,Song,M1,primary,test,12508,0.5702053788141358,0.5320182133317376,0.5641839988291566,0.5758532072505251,0.5269331174340978,0.536853318810278,500
primary_model,LogisticRegression,Song,M2,primary,test,12508,0.8679491504858717,0.8333329756735396,0.8613565105183913,0.8735030001259412,0.8236570565729376,0.8427309370813255,500
primary_model,LogisticRegression,Song,M3,primary,test,12508,0.8952404221998441,0.8705744176225934,0.8895279519636841,0.9006302773060673,0.8619687967552709,0.8785058944168891,500
primary_model,LogisticRegression,Song,M4,primary,test,12508,0.8973276282667271,0.8728365881697275,0.8919481911443906,0.9026902373965401,0.8640772568072058,0.881718194443848,500
primary_model,LogisticRegression,Song,M5,primary,test,12508,0.8592685275583335,0.8087579692973633,0.8520398437408008,0.8659107581402278,0.8006805355298626,0.8172095025585806,500
primary_model,LogisticRegression,Song,M6,primary,test,12508,0.9007690602485137,0.8809945821362193,0.8948016484214095,0.9063778965188531,0.871967154880451,0.8896248178606497,500
