algorithm,model_variant,population,feature_set,feature,importance,importance_rank
CatBoost,balanced,Global,M0,dynasty_name,100.0,1
CatBoost,unweighted,Global,M0b,dynasty_name,55.62494357177761,1
CatBoost,unweighted,Global,M0b,has_safe_birth_year,39.18856764679113,2
CatBoost,unweighted,Global,M0b,safe_birth_decade,5.186488781431224,3
CatBoost,unweighted,Global,M1,gender,50.12349511924455,1
CatBoost,unweighted,Global,M1,dynasty_name,30.16097301111479,2
CatBoost,unweighted,Global,M1,has_safe_birth_year,17.7234920858239,3
CatBoost,unweighted,Global,M1,safe_birth_decade,1.99203978381679,4
CatBoost,unweighted,Global,M2,gender,31.960096701817065,1
CatBoost,unweighted,Global,M2,dynasty_name,17.268277931361837,2
CatBoost,unweighted,Global,M2,local_entry_prior,15.860708371997317,3
CatBoost,unweighted,Global,M2,addr_type_name,12.980918666388675,4
CatBoost,unweighted,Global,M2,safe_birth_decade,6.497041711228022,5
CatBoost,unweighted,Global,M2,prefecture_id,4.049173228900087,6
CatBoost,unweighted,Global,M2,has_safe_birth_year,2.1096130827846094,7
CatBoost,unweighted,Global,M2,county_id,1.8854887765372135,8
CatBoost,unweighted,Global,M2,distance_to_dynasty_capital_km,1.4576013506398828,9
CatBoost,unweighted,Global,M2,local_cbdb_person_count,1.3159744059055345,10
CatBoost,unweighted,Global,M2,local_address_density,1.264349609486463,11
CatBoost,unweighted,Global,M2,province_id,1.1683658037349687,12
CatBoost,unweighted,Global,M2,latitude,1.0572742064830243,13
CatBoost,unweighted,Global,M2,longitude,0.9564557845501449,14
CatBoost,unweighted,Global,M2,has_geography,0.16866036818515776,15
CatBoost,balanced,Global,M3,gender,22.713905362563704,1
CatBoost,balanced,Global,M3,dynasty_name,15.965404643654676,2
CatBoost,balanced,Global,M3,local_entry_prior,11.003307068920144,3
CatBoost,balanced,Global,M3,family_group_size,8.451927194680872,4
CatBoost,balanced,Global,M3,addr_type_name,7.670274701846586,5
CatBoost,balanced,Global,M3,n_known_descendants,5.238430082899161,6
CatBoost,balanced,Global,M3,has_safe_birth_year,4.747351330182843,7
CatBoost,balanced,Global,M3,safe_birth_decade,3.5762498323206486,8
CatBoost,balanced,Global,M3,has_core_family,3.520632695230003,9
CatBoost,balanced,Global,M3,n_known_core_kin,2.710101522864933,10
CatBoost,balanced,Global,M3,prefecture_id,2.2905920518709615,11
CatBoost,balanced,Global,M3,n_known_ancestors,1.6897327078054887,12
CatBoost,balanced,Global,M3,n_known_parent_generation,1.335316612184714,13
CatBoost,balanced,Global,M3,n_known_parents,1.3027875895181458,14
CatBoost,balanced,Global,M3,county_id,1.178528418731844,15
CatBoost,balanced,Global,M3,n_known_same_generation,1.0072402793061204,16
CatBoost,balanced,Global,M3,latitude,0.9375805233255031,17
CatBoost,balanced,Global,M3,longitude,0.8616890952949594,18
CatBoost,balanced,Global,M3,province_id,0.8388264638159629,19
CatBoost,balanced,Global,M3,distance_to_dynasty_capital_km,0.7559602349259654,20
CatBoost,balanced,Global,M3,local_address_density,0.5099773077461229,21
CatBoost,balanced,Global,M3,local_cbdb_person_count,0.4867874365157646,22
CatBoost,balanced,Global,M3,father_identified,0.46438846851304433,23
CatBoost,balanced,Global,M3,n_known_grandparents,0.39989633394361135,24
CatBoost,balanced,Global,M3,paternal_grandfather_identified,0.17456048363977855,25
CatBoost,balanced,Global,M3,mother_identified,0.14407170373743292,26
CatBoost,balanced,Global,M3,maternal_grandfather_identified,0.009940928574397335,27
CatBoost,balanced,Global,M3,paternal_grandmother_identified,0.009853394264607919,28
CatBoost,balanced,Global,M3,has_geography,0.004685531121988695,29
CatBoost,balanced,Global,M3,maternal_grandmother_identified,0.0,30
CatBoost,balanced,Global,M4,gender,25.49719054673547,1
CatBoost,balanced,Global,M4,dynasty_name,15.825248713090827,2
CatBoost,balanced,Global,M4,local_entry_prior,10.371646668372977,3
CatBoost,balanced,Global,M4,family_group_size,7.482910218022852,4
CatBoost,balanced,Global,M4,addr_type_name,7.003304083381144,5
CatBoost,balanced,Global,M4,has_safe_birth_year,5.20614944459618,6
CatBoost,balanced,Global,M4,n_known_descendants,4.642189021714404,7
CatBoost,balanced,Global,M4,has_core_family,2.896885308631594,8
CatBoost,balanced,Global,M4,n_known_core_kin,2.7000709543198322,9
CatBoost,balanced,Global,M4,prefecture_id,2.4278657950174756,10
CatBoost,balanced,Global,M4,safe_birth_decade,2.286039263156332,11
CatBoost,balanced,Global,M4,n_eligible_older_kin,1.2874557669856388,12
CatBoost,balanced,Global,M4,province_id,1.022273348570204,13
CatBoost,balanced,Global,M4,county_id,0.9408644345079147,14
CatBoost,balanced,Global,M4,n_known_parent_generation,0.8790006750557777,15
CatBoost,balanced,Global,M4,older_kin_entry_ratio_smoothed,0.8589135333573896,16
CatBoost,balanced,Global,M4,n_known_same_generation,0.825805034634505,17
CatBoost,balanced,Global,M4,distance_to_dynasty_capital_km,0.7045097515124374,18
CatBoost,balanced,Global,M4,n_known_ancestors,0.6699995008832934,19
CatBoost,balanced,Global,M4,local_address_density,0.6140276730057878,20
CatBoost,balanced,Global,M4,mother_ever_posting,0.6013546690839362,21
CatBoost,balanced,Global,M4,latitude,0.5897174352757143,22
CatBoost,balanced,Global,M4,any_older_kin_ever_posting,0.5219396685887062,23
CatBoost,balanced,Global,M4,any_older_kin_ever_entry,0.510649171786598,24
CatBoost,balanced,Global,M4,older_kin_entry_ratio,0.47708356900459065,25
CatBoost,balanced,Global,M4,older_kin_posting_ratio_smoothed,0.41666011844633194,26
CatBoost,balanced,Global,M4,longitude,0.4142900831187166,27
CatBoost,balanced,Global,M4,local_cbdb_person_count,0.3946373896410446,28
CatBoost,balanced,Global,M4,older_kin_posting_ratio,0.3769960158842309,29
CatBoost,balanced,Global,M4,paternal_grandfather_ever_entry,0.31298915435359925,30
CatBoost,balanced,Global,M4,n_older_kin_ever_entry,0.2895751090131752,31
CatBoost,balanced,Global,M4,father_ever_entry,0.1739732881876454,32
CatBoost,balanced,Global,M4,paternal_grandfather_ever_posting,0.1454639688307546,33
CatBoost,balanced,Global,M4,has_geography,0.11833306696521571,34
CatBoost,balanced,Global,M4,paternal_grandfather_identified,0.112154619149178,35
CatBoost,balanced,Global,M4,n_known_parents,0.09755842786903572,36
CatBoost,balanced,Global,M4,n_known_grandparents,0.06836615676220105,37
CatBoost,balanced,Global,M4,father_ever_posting,0.06301494326881188,38
CatBoost,balanced,Global,M4,mother_identified,0.059639072581693056,39
CatBoost,balanced,Global,M4,mother_ever_entry,0.05483535771681803,40
CatBoost,balanced,Global,M4,n_older_kin_ever_posting,0.03630348297401224,41
CatBoost,balanced,Global,M4,father_identified,0.01871234675990148,42
CatBoost,balanced,Global,M4,maternal_grandfather_ever_entry,0.0015521954233465645,43
CatBoost,balanced,Global,M4,maternal_grandfather_ever_posting,0.001049042801420066,44
CatBoost,balanced,Global,M4,maternal_grandfather_identified,0.0008019109612324403,45
CatBoost,balanced,Global,M4,paternal_grandmother_identified,0.0,46
CatBoost,balanced,Global,M4,maternal_grandmother_identified,0.0,47
CatBoost,balanced,Global,M5,has_address,58.2159825304706,1
CatBoost,balanced,Global,M5,has_kin,21.16920628718356,2
CatBoost,balanced,Global,M5,documentation_intensity,16.596556558672113,3
CatBoost,balanced,Global,M5,has_assoc,2.7111203879797943,4
CatBoost,balanced,Global,M5,has_text,0.8879806118004532,5
CatBoost,balanced,Global,M5,has_status,0.37893687140771853,6
CatBoost,balanced,Global,M5,has_institution,0.04021675248577859,7
CatBoost,balanced,Global,M6,gender,21.678754292452442,1
CatBoost,balanced,Global,M6,dynasty_name,16.44872396545465,2
CatBoost,balanced,Global,M6,local_entry_prior,9.131513917937003,3
CatBoost,balanced,Global,M6,documentation_intensity,7.0598000329540245,4
CatBoost,balanced,Global,M6,has_kin,6.635595436806438,5
CatBoost,balanced,Global,M6,has_safe_birth_year,6.11469040399958,6
CatBoost,balanced,Global,M6,family_group_size,5.3552398262844685,7
CatBoost,balanced,Global,M6,addr_type_name,4.982232302675406,8
CatBoost,balanced,Global,M6,has_status,2.9541220441738303,9
CatBoost,balanced,Global,M6,prefecture_id,2.2753687226677015,10
CatBoost,balanced,Global,M6,n_known_descendants,1.7195106970061413,11
CatBoost,balanced,Global,M6,safe_birth_decade,1.6905377595780964,12
CatBoost,balanced,Global,M6,n_known_core_kin,1.1855856874925506,13
CatBoost,balanced,Global,M6,n_eligible_older_kin,0.9214104600148236,14
CatBoost,balanced,Global,M6,n_known_parent_generation,0.7970244604473032,15
CatBoost,balanced,Global,M6,n_older_kin_ever_entry,0.792870825185149,16
CatBoost,balanced,Global,M6,latitude,0.7803874812308313,17
CatBoost,balanced,Global,M6,distance_to_dynasty_capital_km,0.7692070872476318,18
CatBoost,balanced,Global,M6,longitude,0.7237128328542065,19
CatBoost,balanced,Global,M6,has_text,0.6933517523952162,20
CatBoost,balanced,Global,M6,province_id,0.6780474255750456,21
CatBoost,balanced,Global,M6,n_known_same_generation,0.4928537764893007,22
CatBoost,balanced,Global,M6,has_assoc,0.459385584072423,23
CatBoost,balanced,Global,M6,n_known_ancestors,0.4543879641273781,24
CatBoost,balanced,Global,M6,county_id,0.4454911383899664,25
CatBoost,balanced,Global,M6,local_address_density,0.41829001210508054,26
CatBoost,balanced,Global,M6,older_kin_posting_ratio_smoothed,0.40553830350906983,27
CatBoost,balanced,Global,M6,older_kin_entry_ratio,0.3959355561629732,28
CatBoost,balanced,Global,M6,older_kin_entry_ratio_smoothed,0.3687711581706704,29
CatBoost,balanced,Global,M6,father_ever_posting,0.3564962980828844,30
CatBoost,balanced,Global,M6,any_older_kin_ever_entry,0.3241380629803475,31
CatBoost,balanced,Global,M6,paternal_grandfather_ever_posting,0.3137600385660859,32
CatBoost,balanced,Global,M6,local_cbdb_person_count,0.30890432856417294,33
CatBoost,balanced,Global,M6,any_older_kin_ever_posting,0.2713341126503287,34
CatBoost,balanced,Global,M6,father_ever_entry,0.2661409502276137,35
CatBoost,balanced,Global,M6,older_kin_posting_ratio,0.258765799528305,36
CatBoost,balanced,Global,M6,n_known_parents,0.2456527380344909,37
CatBoost,balanced,Global,M6,mother_ever_entry,0.1913190869520186,38
CatBoost,balanced,Global,M6,paternal_grandfather_ever_entry,0.1589886442024266,39
CatBoost,balanced,Global,M6,has_core_family,0.13105325679223925,40
CatBoost,balanced,Global,M6,paternal_grandfather_identified,0.09889638948337581,41
CatBoost,balanced,Global,M6,mother_ever_posting,0.0683859269958878,42
CatBoost,balanced,Global,M6,n_known_grandparents,0.0435441876580158,43
CatBoost,balanced,Global,M6,father_identified,0.0434881559755552,44
CatBoost,balanced,Global,M6,n_older_kin_ever_posting,0.031405369877514855,45
CatBoost,balanced,Global,M6,has_institution,0.02481972887895948,46
CatBoost,balanced,Global,M6,has_address,0.019549657851910377,47
