feature,population,n_people,n_non_missing,coverage,positive_mean,negative_mean
father_ever_entry,Global,661124,90891,0.13747950460125483,0.3220304080722106,0.23820319331541276
father_ever_posting,Global,661124,90891,0.13747950460125483,0.4346020523732711,0.5815979531690255
mother_ever_entry,Global,661124,18742,0.028348691017116304,0.005988829823026714,0.05230610667353775
mother_ever_posting,Global,661124,18742,0.028348691017116304,0.1073279052553664,0.12780211285751095
paternal_grandfather_ever_entry,Global,661124,28916,0.043737634694853006,0.12233325847743094,0.37346902017291067
paternal_grandfather_ever_posting,Global,661124,28916,0.043737634694853006,0.34302717269256683,0.5859149855907781
maternal_grandfather_ever_entry,Global,661124,313,0.00047343614813559937,0.49038461538461536,0.24880382775119617
maternal_grandfather_ever_posting,Global,661124,313,0.00047343614813559937,0.47115384615384615,0.44019138755980863
n_eligible_older_kin,Global,661124,661124,1.0,0.3976349222896563,0.1995382488416493
n_older_kin_ever_entry,Global,661124,661124,1.0,0.06783394598122623,0.05047707475873842
n_older_kin_ever_posting,Global,661124,661124,1.0,0.12224251791485176,0.1100234507840008
older_kin_entry_ratio,Global,661124,108373,0.16392235042140355,0.33916207917159674,0.2760826266585387
older_kin_posting_ratio,Global,661124,108373,0.16392235042140355,0.39654392057357385,0.5794429160564731
any_older_kin_ever_entry,Global,661124,108373,0.16392235042140355,0.4021771459163643,0.2881299246832818
any_older_kin_ever_posting,Global,661124,108373,0.16392235042140355,0.5500565106180477,0.5957110941659643
father_entry_before_birth,Global,661124,1927,0.0029147330909178914,0.5847287340924313,0.5783410138248848
father_posting_before_birth,Global,661124,1801,0.0027241485712211325,0.3103448275862069,0.28296703296703296
paternal_grandfather_entry_before_birth,Global,661124,437,0.0006609955167260604,0.9188311688311688,0.9767441860465116
paternal_grandfather_posting_before_birth,Global,661124,460,0.0006957847544484847,0.8448275862068966,0.9122807017543859
maternal_grandfather_entry_before_birth,Global,661124,24,3.630181327557312e-05,0.8666666666666667,0.8888888888888888
maternal_grandfather_posting_before_birth,Global,661124,32,4.8402417700764156e-05,0.7222222222222222,0.7142857142857143
n_older_kin_entry_before_birth,Global,661124,2747,0.004155045044499973,0.744578313253012,0.7604166666666666
any_older_kin_entry_before_birth,Global,661124,2747,0.004155045044499973,0.6862650602409639,0.7053571428571429
n_older_kin_with_valid_entry_year,Global,661124,2747,0.004155045044499973,1.1113253012048192,1.099702380952381
n_older_kin_posting_before_birth,Global,661124,2591,0.003919083258208747,0.5232786885245901,0.5797373358348968
any_older_kin_posting_before_birth,Global,661124,2591,0.003919083258208747,0.4780327868852459,0.5028142589118199
n_older_kin_with_valid_posting_year,Global,661124,2591,0.003919083258208747,1.1331147540983606,1.1491557223264541
father_ever_entry,Song,83373,19142,0.22959471291665168,0.5612377465454116,0.4183606557377049
father_ever_posting,Song,83373,19142,0.22959471291665168,0.5403330577536317,0.5303981264637002
mother_ever_entry,Song,83373,1844,0.022117472083288355,0.050955414012738856,0.10884353741496598
mother_ever_posting,Song,83373,1844,0.022117472083288355,0.21496815286624205,0.4387755102040816
paternal_grandfather_ever_entry,Song,83373,4108,0.04927254626797644,0.49155227032734955,0.4110207768744354
paternal_grandfather_ever_posting,Song,83373,4108,0.04927254626797644,0.5385427666314678,0.544263775971093
maternal_grandfather_ever_entry,Song,83373,54,0.0006476916987513944,0.575,0.5
maternal_grandfather_ever_posting,Song,83373,54,0.0006476916987513944,0.65,0.7142857142857143
n_eligible_older_kin,Song,83373,83373,1.0,0.38872462543792086,0.3614293001901405
n_older_kin_ever_entry,Song,83373,83373,1.0,0.19914527790891245,0.15051245188517368
n_older_kin_ever_posting,Song,83373,83373,1.0,0.20297165006087411,0.19660993368269722
older_kin_entry_ratio,Song,83373,24641,0.2955513175728353,0.6063221282217345,0.43784217165019246
older_kin_posting_ratio,Song,83373,24641,0.2955513175728353,0.5553056086520654,0.5518436098291278
any_older_kin_ever_entry,Song,83373,24641,0.2955513175728353,0.6496957766642806,0.4592647604901597
any_older_kin_ever_posting,Song,83373,24641,0.2955513175728353,0.6054939155332856,0.5699962866691423
father_entry_before_birth,Song,83373,918,0.011010758878773704,0.649367088607595,0.6328125
father_posting_before_birth,Song,83373,805,0.009655404027682822,0.2639751552795031,0.2670807453416149
paternal_grandfather_entry_before_birth,Song,83373,191,0.002290909527065117,0.9139072847682119,0.975
paternal_grandfather_posting_before_birth,Song,83373,171,0.0020510237127127485,0.7938931297709924,0.9
maternal_grandfather_entry_before_birth,Song,83373,10,0.00011994290717618413,1.0,1.0
maternal_grandfather_posting_before_birth,Song,83373,11,0.00013193719789380255,0.6363636363636364,
n_older_kin_entry_before_birth,Song,83373,1314,0.015760498002950596,0.8123861566484517,0.8101851851851852
any_older_kin_entry_before_birth,Song,83373,1314,0.015760498002950596,0.7395264116575592,0.7453703703703703
n_older_kin_with_valid_entry_year,Song,83373,1314,0.015760498002950596,1.1357012750455373,1.1111111111111112
n_older_kin_posting_before_birth,Song,83373,1159,0.01390138294171974,0.48639825897714906,0.5208333333333334
any_older_kin_posting_before_birth,Song,83373,1159,0.01390138294171974,0.44940152339499456,0.45
n_older_kin_with_valid_posting_year,Song,83373,1159,0.01390138294171974,1.1490750816104462,1.1416666666666666
father_ever_entry,Ming,225403,20176,0.08951078734533258,0.1446577467519876,0.6546227417640808
father_ever_posting,Ming,225403,20176,0.08951078734533258,0.37547669833882746,0.704144527098831
mother_ever_entry,Ming,225403,13509,0.05993265395757821,0.0001523113243469652,0.10317460317460317
mother_ever_posting,Ming,225403,13509,0.05993265395757821,0.09679384662249638,0.12433862433862433
paternal_grandfather_ever_entry,Ming,225403,15992,0.07094847894659786,0.053398728930643825,0.604221635883905
paternal_grandfather_ever_posting,Ming,225403,15992,0.07094847894659786,0.31963249516441006,0.7315303430079155
maternal_grandfather_ever_entry,Ming,225403,26,0.00011534895276460385,0.5833333333333334,0.5714285714285714
maternal_grandfather_ever_posting,Ming,225403,26,0.00011534895276460385,0.5,0.42857142857142855
n_eligible_older_kin,Ming,225403,225403,1.0,1.3962150729155072,0.04563184256017021
n_older_kin_ever_entry,Ming,225403,225403,1.0,0.07941667594344874,0.026417268738087852
n_older_kin_ever_posting,Ming,225403,225403,1.0,0.34534120004452856,0.030860777447808165
older_kin_entry_ratio,Ming,225403,23452,0.10404475539367267,0.11891017799560047,0.6197858397598017
older_kin_posting_ratio,Ming,225403,23452,0.10404475539367267,0.28243565746815513,0.7193539478656651
