feature,feature_sets,storage,dtype,n_non_missing,coverage,n_unique,min,max,mean
addr_type_name,M2;M3;M4;M6,master_table,object,391620.0,0.5923548381241643,8.0,,,
any_older_kin_entry_before_birth,PB1,master_table,Float64,2747.0,0.004155045044499973,2.0,0.0,1.0,0.6909355660720786
any_older_kin_ever_entry,M4;M6,master_table,float64,108373.0,0.16392235042140355,2.0,0.0,1.0,0.32351231395273733
any_older_kin_ever_posting,M4;M6,master_table,float64,108373.0,0.16392235042140355,2.0,0.0,1.0,0.581547064305685
any_older_kin_posting_before_birth,PB1,master_table,Float64,2591.0,0.003919083258208747,2.0,0.0,1.0,0.4882284832111154
county_id,M2;M3;M4;M6,master_table,Int64,305530.0,0.4621372087535772,5185.0,367.0,702709.0,17367.39922757176
distance_to_dynasty_capital_km,M2;M3;M4;M6,master_table,float64,372552.0,0.5635130474767215,6055.0,0.0,3352.364150411163,959.0625383102067
documentation_intensity,M5;M6,master_table,int8,661124.0,1.0,7.0,0.0,6.0,1.2122325010134256
dynasty_name,M0;M0b;M1;M2;M3;M4;M6;PB0;PB1,master_table,string,661124.0,1.0,77.0,,,
family_group_size,M3;M4;M6,master_table,int32,661124.0,1.0,115.0,1.0,13623.0,299.90165838783645
father_entry_before_birth,PB1,master_table,Float64,1927.0,0.0029147330909178914,2.0,0.0,1.0,0.5832900882200311
father_ever_entry,M4;M6,master_table,Float64,90891.0,0.13747950460125483,2.0,0.0,1.0,0.26507575007426476
father_ever_posting,M4;M6,master_table,Float64,90891.0,0.13747950460125483,2.0,0.0,1.0,0.5344753605967587
father_identified,M3;M4;M6,master_table,int8,661124.0,1.0,2.0,0.0,1.0,0.13748404232791428
father_posting_before_birth,PB1,master_table,Float64,1801.0,0.0027241485712211325,2.0,0.0,1.0,0.29927817878956137
gender,M1;M2;M3;M4;M6;PB0;PB1,master_table,string,661124.0,1.0,3.0,,,
has_address,M5;M6,master_table,int8,661124.0,1.0,2.0,0.0,1.0,0.5982947223213799
has_assoc,M5;M6,master_table,int8,661124.0,1.0,2.0,0.0,1.0,0.06770439433449701
has_core_family,M3;M4;M6,master_table,int8,661124.0,1.0,2.0,0.0,1.0,0.33941287867328973
has_geography,M2;M3;M4;M6,master_table,int8,661124.0,1.0,2.0,0.0,1.0,0.5923548381241643
has_institution,M5;M6,master_table,int8,661124.0,1.0,2.0,0.0,1.0,0.0007184733877457179
has_kin,M5;M6,master_table,int8,661124.0,1.0,2.0,0.0,1.0,0.4329399628511444
has_safe_birth_year,M0b;M1;M2;M3;M4;M6;PB0;PB1,master_table,int8,661124.0,1.0,2.0,0.0,1.0,0.0905291594315136
has_status,M5;M6,master_table,int8,661124.0,1.0,2.0,0.0,1.0,0.08522455696662048
has_text,M5;M6,master_table,int8,661124.0,1.0,2.0,0.0,1.0,0.027350391152038044
latitude,M2;M3;M4;M6,master_table,float64,382294.0,0.5782485585154978,3746.0,18.375463486,50.86566,31.446337236276857
local_address_density,M2;M3;M4;M6,master_table,float64,391620.0,0.5923548381241643,491.0,0.6931471805599453,8.434680769841773,5.3184908618430295
local_cbdb_person_count,M2;M3;M4;M6,master_table,float64,391620.0,0.5923548381241643,491.0,1.0,4603.0,496.95139165517594
local_entry_prior,M2;M3;M4;M6,fold_derived,,,,,,,
longitude,M2;M3;M4;M6,master_table,float64,382294.0,0.5782485585154978,3695.0,77.23219,133.65704346,115.58555161389096
maternal_grandfather_entry_before_birth,PB1,master_table,Float64,24.0,3.630181327557312e-05,2.0,0.0,1.0,0.875
maternal_grandfather_ever_entry,M4;M6,master_table,Float64,313.0,0.00047343614813559937,2.0,0.0,1.0,0.329073482428115
maternal_grandfather_ever_posting,M4;M6,master_table,Float64,313.0,0.00047343614813559937,2.0,0.0,1.0,0.4504792332268371
maternal_grandfather_identified,M3;M4;M6,master_table,int8,661124.0,1.0,2.0,0.0,1.0,0.00047343614813559937
maternal_grandfather_posting_before_birth,PB1,master_table,Float64,32.0,4.8402417700764156e-05,2.0,0.0,1.0,0.71875
maternal_grandmother_identified,M3;M4;M6,master_table,int8,661124.0,1.0,2.0,0.0,1.0,3.176408661612648e-05
mother_ever_entry,M4;M6,master_table,Float64,18742.0,0.028348691017116304,2.0,0.0,1.0,0.015579980791804502
