algorithm,model_variant,population,feature_set,transformed_feature,coefficient,absolute_coefficient_rank,selection_reason
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Choson,-3.9815416727017103,1,top_negative
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Eastern Han,0.4313867175655996,38,top_positive
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Eastern Jin,-0.4485410551991007,36,top_negative
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Eastern Liang (North. Dy),-0.4219350582823557,40,top_negative
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Eastern Wei,0.9371931697789402,21,top_positive
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Former Qin (16 states),1.4089665792122175,11,top_positive
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Former Yan (16 states),0.7027935822646887,27,top_positive
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Korea,-3.481095036105556,3,top_negative
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Koryo,-2.5609719667000492,5,top_negative
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Later Han (5 dynasties),-1.2437038038480113,14,top_negative
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Later Liang (5 dynasties),0.8445069931654513,24,top_positive
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Later Shu (10 states),1.026791185522821,18,top_positive
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Later Tang (5 dynasties),0.670515703966015,29,top_positive
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Later Zhao (16 states),1.5368826113848555,10,top_positive
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Liao,-0.6303077004945306,31,top_negative
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Ming,1.1544426701807506,17,top_positive
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_NanBei Chao,-3.689697388300433,2,top_negative
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Northern Qi,-1.2273271348189416,15,top_negative
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Pre-Han,-1.197847648502508,16,top_negative
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_QinHan,-1.368086874557855,12,top_negative
LogisticRegression,balanced,Global,M0,categorical__dynasty_name_Qing,2.727566769216508,4,top_positive
