algorithm,model_variant,population,feature_set,split_protocol,evaluation_split,threshold_source,threshold,n_train,n_validation,n_test,train_positive_rate,validation_positive_rate,test_positive_rate,best_iteration,roc_auc,pr_auc,balanced_accuracy,f1,precision,recall,log_loss,brier_score,selection_validation_roc_auc,selection_validation_log_loss
LogisticRegression,balanced,Global,M0,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.7398182250893919,0.5064089578613011,0.7128091233233782,0.6266530526885558,0.5291368027422874,0.7682330940459673,0.5842358735221792,0.2026454309254932,,
LogisticRegression,balanced,Global,M0,primary,test,validation_balanced_accuracy,0.4,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.7398182250893919,0.5064089578613011,0.712831656688386,0.6266820832000788,0.5291209704220672,0.7683537431380829,0.5842358735221792,0.2026454309254932,,
LogisticRegression,unweighted_diagnostic,Global,M0,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.7398169621157354,0.5064085588405678,0.6705983136897934,0.5649556492656682,0.5454290206648698,0.5859323158593231,0.5394791071904307,0.1835212303394107,,
LogisticRegression,balanced,Global,M0b,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.7841859235793645,0.5810439564944321,0.7459413737422457,0.6626020306589687,0.5639428982928792,0.8031006816673705,0.5444124341499436,0.1848107956737986,,
LogisticRegression,balanced,Global,M0b,primary,test,validation_balanced_accuracy,0.56,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.7841859235793645,0.5810439564944321,0.7461814741532655,0.6628342413426012,0.56674733888758,0.7981540688906316,0.5444124341499436,0.1848107956737986,,
LogisticRegression,unweighted_diagnostic,Global,M0b,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.7841637358223104,0.5810445469114117,0.7106705724341285,0.6159133972767733,0.600280585220603,0.6323822163238222,0.5035484124720365,0.1683417071616568,,
LogisticRegression,balanced,Global,M1,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.8296641593648573,0.638489621407497,0.7767865003793422,0.6980469262026479,0.6172802299703264,0.8031308439403994,0.4939437399769074,0.1661196047463809,,
LogisticRegression,balanced,Global,M1,primary,test,validation_balanced_accuracy,0.56,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.8296641593648573,0.638489621407497,0.7768254966287581,0.6983929469698975,0.6223223553835991,0.7956506002292333,0.4939437399769074,0.1661196047463809,,
LogisticRegression,unweighted_diagnostic,Global,M1,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.8296149530905004,0.6386961256969091,0.7368017625177634,0.6488055508125979,0.6683616361252358,0.6303613440308862,0.457710488644832,0.1520957872684671,,
LogisticRegression,balanced,Global,M2,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.9004174541478394,0.8208489553562487,0.8324692279591863,0.7728164368434054,0.7455911626994141,0.8021053266574169,0.3903653957772331,0.1221587804357341,,
LogisticRegression,balanced,Global,M2,primary,test,validation_balanced_accuracy,0.5800000000000001,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.9004174541478394,0.8208489553562487,0.8336927897702993,0.7775965035697715,0.7717859583444752,0.7834952041985884,0.3903653957772331,0.1221587804357341,,
LogisticRegression,unweighted_diagnostic,Global,M2,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.9002149205918628,0.8223823534350548,0.831043146042538,0.7771243842364532,0.7935924039489405,0.7613259335223502,0.3633096650376324,0.1125356618374961,,
LogisticRegression,balanced,Global,M3,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.9131125806026938,0.8437308621872193,0.8447855377763851,0.7875828291558629,0.7537914299895219,0.8245460577909152,0.3692303725188188,0.1145705807040883,,
