algorithm,population,target_name,split_protocol,subset,model_a,model_b,comparison,delta_roc_auc,delta_pr_auc,delta_log_loss
CatBoost,Global,target_entry_v1,primary,all,F0,F1,F1 - F0,0.021728167779832996,0.035438339730732515,-0.04144415374150323
CatBoost,Global,target_entry_v1,primary,all,F1,F2,F2 - F1,0.0022510674796967223,0.0023809984008524854,-0.0050100046495489825
CatBoost,Global,target_entry_v1,primary,all,F2,F3,F3 - F2,0.0007009198308267628,0.001098484069544936,-0.001379940791081058
CatBoost,Ming,target_entry_v1,primary,all,F0,F1,F1 - F0,0.08807631176433595,0.10595785963813387,0.02066128306855375
CatBoost,Ming,target_entry_v1,primary,all,F1,F2,F2 - F1,0.007870823921500292,0.010708694757263881,-0.009509607708049483
CatBoost,Ming,target_entry_v1,primary,all,F2,F3,F3 - F2,-0.0003185589891785412,0.0005755950355059714,-0.0883669299354172
CatBoost,Song,target_entry_v1,primary,all,F0,F1,F1 - F0,0.03643792815517177,0.05656979506745974,-0.061555409251892956
CatBoost,Song,target_entry_v1,primary,all,F1,F2,F2 - F1,0.009135738980276087,0.007810700844932961,-0.018108944413075367
CatBoost,Song,target_entry_v1,primary,all,F2,F3,F3 - F2,0.0018214497261802576,0.0018774821095266514,-0.004252533919225532
CatBoost,Global,target_entry_v1,primary,all,F2,F4,F4 - F2,0.0003110036153044504,0.0005411285517097353,-0.0006358670013305034
CatBoost,Ming,target_entry_v1,primary,all,F2,F4,F4 - F2,-0.0003937133219721334,0.0005252017798400566,-0.08836352609779022
CatBoost,Song,target_entry_v1,primary,all,F2,F4,F4 - F2,0.0009024759726267151,0.0010487548377414724,-0.002565052844582083
