model_id,population,feature_group,mean_abs_shap,signed_mean_shap,n_features,sample_n,group_share_of_total_abs_shap,rank
H_STRUCT,Global,personal_gender,0.7420646777104623,0.031015421338890032,1,10000,0.1976440311622555,1
H_STRUCT,Global,family_topology,0.6341107332745664,-0.016934624708273012,7,10000,0.1688912102841519,2
H_STRUCT,Global,other,0.6162132894135744,-0.03792027538666331,1,10000,0.1641243441895407,3
H_STRUCT,Global,administrative_geography,0.5970845483559388,0.09464951454285095,3,10000,0.15902953021004387,4
H_STRUCT,Global,family_observability,0.3258106489918745,-0.06215182212654858,5,10000,0.08677751683455025,5
H_STRUCT,Global,regional_density,0.26805903637777373,-0.02047487686666684,2,10000,0.07139575582904198,6
H_STRUCT,Global,continuous_geography,0.24774470651515185,-0.020614734677692956,3,10000,0.06598516809321804,7
H_STRUCT,Global,personal_birth_cohort,0.2362414436446059,-0.004952842819452097,2,10000,0.0629213499200252,8
H_STRUCT,Global,address_observability,0.08722233498590927,-0.0077492848342392215,2,10000,0.023231093477172646,9
D5_MAIN,Global,personal_gender,0.8015003571184907,0.03373762005908278,1,10000,0.19464374470700335,1
D5_MAIN,Global,other,0.6484397110757837,-0.062313029418382515,1,10000,0.1574730846462477,2
D5_MAIN,Global,family_topology,0.5536806174193623,-0.03869339962341801,7,10000,0.13446091170020275,3
D5_MAIN,Global,address_record_semantics,0.46255196817909217,-0.05350591934758373,1,10000,0.11233038938579419,4
D5_MAIN,Global,supervised_local_prior,0.36685072033832344,0.04010732597511734,1,10000,0.08908941502137926,5
D5_MAIN,Global,documentation_general,0.3204871428960416,0.007890592031259053,6,10000,0.07783005593160564,6
D5_MAIN,Global,family_observability,0.3138080306712011,-0.007351615414949821,5,10000,0.07620803866958578,7
D5_MAIN,Global,personal_birth_cohort,0.2934771996021472,0.013792515532737325,2,10000,0.07127071199575484,8
D5_MAIN,Global,administrative_geography,0.13985935391726678,0.002615846118758953,3,10000,0.033964736430846534,9
D5_MAIN,Global,regional_density,0.10135283224064309,-0.0018708882716489375,2,10000,0.024613457285163766,10
D5_MAIN,Global,continuous_geography,0.08736403448233263,0.024909249473212526,3,10000,0.021216288518557773,11
D5_MAIN,Global,address_observability,0.02840925500581567,0.0012811680330802172,2,10000,0.006899165707858388,12
D6_UPPER,Global,personal_gender,0.7540880391979686,0.030536409096127322,1,10000,0.18199284359553267,1
D6_UPPER,Global,other,0.6384840576111095,-0.07324742274729198,1,10000,0.1540927891637785,2
D6_UPPER,Global,family_topology,0.5499802505953514,-0.012941866358065277,7,10000,0.1327331352897306,3
D6_UPPER,Global,address_record_semantics,0.48412041271933876,-0.07142201673073943,1,10000,0.11683841404929776,4
D6_UPPER,Global,supervised_local_prior,0.36378824788047204,0.08572287161391005,1,10000,0.08779725212034893,5
D6_UPPER,Global,documentation_general,0.29595047656146856,0.03164274529219687,6,10000,0.07142517318025617,6
D6_UPPER,Global,personal_birth_cohort,0.28509294127416085,-0.011221623435914464,2,10000,0.06880479781469859,7
D6_UPPER,Global,family_observability,0.26657944144479057,-0.005862098059490033,5,10000,0.06433671941574129,8
D6_UPPER,Global,continuous_geography,0.14741498168711842,0.007174172902989581,3,10000,0.03557737334536724,9
D6_UPPER,Global,administrative_geography,0.1438621146896657,-0.021580324746969328,3,10000,0.034719918599803515,10
D6_UPPER,Global,family_full_record_capital,0.11892587673572036,0.005534868627153045,10,10000,0.02870176605273473,11
D6_UPPER,Global,regional_density,0.08267842412613886,0.006824702938748694,2,10000,0.019953746417615954,12
D6_UPPER,Global,address_observability,0.012538536504612336,-0.009696117018013142,2,10000,0.0030260709550940412,13
H_STRUCT,Song,administrative_geography,0.7210993554493148,0.03539965312415218,3,10000,0.23345629247902444,1
H_STRUCT,Song,family_topology,0.6309638904553427,-0.020420142226581516,7,10000,0.2042748886692069,2
H_STRUCT,Song,continuous_geography,0.5822828387021435,-0.06427921386689059,3,10000,0.18851437277025707,3
H_STRUCT,Song,regional_density,0.38784042003800623,0.018539277229028265,2,10000,0.1255635382993276,4
H_STRUCT,Song,personal_gender,0.2581946635520832,0.03443642359521727,1,10000,0.0835906570089498,5
H_STRUCT,Song,family_observability,0.235799275579516,-3.1312473268188664e-05,5,10000,0.07634013847056183,6
H_STRUCT,Song,personal_birth_cohort,0.1669811308448286,-0.005260400663923989,2,10000,0.05406022821459672,7
H_STRUCT,Song,address_observability,0.10563653740268517,0.024862194589831174,2,10000,0.03419988408807571,8
H_STRUCT,Song,other,0.0,0.0,1,10000,0.0,9
D5_MAIN,Song,supervised_local_prior,0.7983119539632775,0.0640584595606281,1,10000,0.21127612249721348,1
D5_MAIN,Song,documentation_general,0.6428153462541901,-0.10635559563471651,6,10000,0.17012338743525357,2
D5_MAIN,Song,family_topology,0.6073096553966727,0.018477769378260185,7,10000,0.16072667897596107,3
D5_MAIN,Song,continuous_geography,0.49742574351798274,-0.04405655609498978,3,10000,0.13164550749744525,4
D5_MAIN,Song,address_record_semantics,0.2849881199945199,-0.008262566685653845,1,10000,0.07542312832883181,5
D5_MAIN,Song,personal_gender,0.2357961510744225,0.027315829182104637,1,10000,0.06240429728184026,6
D5_MAIN,Song,family_observability,0.22321194183868603,0.06804949901503596,5,10000,0.05907384116274984,7
D5_MAIN,Song,administrative_geography,0.21072688057096373,0.0048684806984293175,3,10000,0.05576962490907985,8
D5_MAIN,Song,personal_birth_cohort,0.13560526830068106,-0.007747038439223714,2,10000,0.03588842072892235,9
D5_MAIN,Song,address_observability,0.07830144870052957,0.014879852885474075,2,10000,0.020722759298833392,10
D5_MAIN,Song,regional_density,0.06403174825259726,-0.0022051710371477047,2,10000,0.016946231883869275,11
D5_MAIN,Song,other,0.0,0.0,1,10000,0.0,12
D6_UPPER,Song,supervised_local_prior,0.8147043549008286,0.07299531710835921,1,10000,0.21250355898384174,1
D6_UPPER,Song,documentation_general,0.6606056539421301,-0.144331028183549,6,10000,0.17230919621712212,2
D6_UPPER,Song,family_topology,0.5476447034110888,0.03759537820301979,7,10000,0.14284500608527245,3
D6_UPPER,Song,continuous_geography,0.5475551274285897,-0.037058479584768086,3,10000,0.1428216415175418,4
D6_UPPER,Song,family_full_record_capital,0.23871757183568165,0.037066338878178444,10,10000,0.06226594138340926,5
D6_UPPER,Song,personal_gender,0.21885242434079527,0.01075763893157141,1,10000,0.05708441201387967,6
D6_UPPER,Song,administrative_geography,0.20319440736101485,-0.030348820250125738,3,10000,0.053000250299489675,7
D6_UPPER,Song,address_record_semantics,0.19819111636898623,0.007793848630361167,1,10000,0.05169521598116042,8
D6_UPPER,Song,family_observability,0.14374323853341772,0.047668138514460195,5,10000,0.03749329383655108,9
D6_UPPER,Song,personal_birth_cohort,0.12903816584773678,0.019572245312917687,2,10000,0.03365769352089589,10
D6_UPPER,Song,regional_density,0.12127634242204821,0.013818911743802299,2,10000,0.03163313689217411,11
D6_UPPER,Song,address_observability,0.010315530459767203,-0.004472988979099657,2,10000,0.0026906532686616015,12
D6_UPPER,Song,other,0.0,0.0,1,10000,0.0,13
H_STRUCT,Ming,personal_gender,1.4887941573886188,-0.041862327896023115,1,10000,0.34297261477786617,1
H_STRUCT,Ming,family_topology,1.1288869107303245,-0.049148748337110824,7,10000,0.2600609987889833,2
H_STRUCT,Ming,family_observability,0.518157557709239,-0.0018554845300576576,5,10000,0.11936764498469367,3
H_STRUCT,Ming,personal_birth_cohort,0.3448315206735421,0.028291237684404037,2,10000,0.07943863005929383,4
H_STRUCT,Ming,continuous_geography,0.28700862264278976,0.03130582283532089,3,10000,0.06611800381071538,5
H_STRUCT,Ming,administrative_geography,0.22036844940656636,0.0027168844032586775,3,10000,0.05076614717516338,6
H_STRUCT,Ming,regional_density,0.2079241412915689,0.03982928686312344,2,10000,0.04789935939787362,7
H_STRUCT,Ming,address_observability,0.14488296274771076,-0.0017004971006926834,2,10000,0.03337660100541069,8
H_STRUCT,Ming,other,0.0,0.0,1,10000,0.0,9
D5_MAIN,Ming,personal_gender,1.4459874996358466,0.011302350998279963,1,10000,0.3194756200876321,1
D5_MAIN,Ming,family_topology,0.9302088129718981,-0.03723956269258947,7,10000,0.20551978313091782,2
D5_MAIN,Ming,address_record_semantics,0.6319184074439439,-0.0561561729184059,1,10000,0.13961567794589125,3
D5_MAIN,Ming,family_observability,0.5674482184589332,0.05382426813014921,5,10000,0.12537167264962132,4
D5_MAIN,Ming,documentation_general,0.2254304431832579,-0.018144507551078676,6,10000,0.04980646834135027,5
D5_MAIN,Ming,personal_birth_cohort,0.22351710711877626,0.021021464735636538,2,10000,0.04938373700668089,6
D5_MAIN,Ming,administrative_geography,0.15418716771395846,0.00399301793659817,3,10000,0.03406602133654534,7
D5_MAIN,Ming,supervised_local_prior,0.1409172759464282,-0.017039456212923524,1,10000,0.03113417932408318,8
D5_MAIN,Ming,continuous_geography,0.12823931150712498,0.022742699902835974,3,10000,0.02833311738425634,9
D5_MAIN,Ming,address_observability,0.039405749331699005,0.00835303106468012,2,10000,0.008706282873076534,10
D5_MAIN,Ming,regional_density,0.03886785093243836,0.025960942830006287,2,10000,0.008587439919945048,11
D5_MAIN,Ming,other,0.0,0.0,1,10000,0.0,12
D6_UPPER,Ming,personal_gender,1.3728354310672408,0.02004957342864634,1,10000,0.30401992252521814,1
D6_UPPER,Ming,family_topology,0.7699507227366127,-0.04880517375897545,7,10000,0.17050868135931405,2
D6_UPPER,Ming,family_observability,0.6476770476736932,0.04115594988289747,5,10000,0.14343068469761386,3
D6_UPPER,Ming,address_record_semantics,0.5795642824453975,-0.019224909973115357,1,10000,0.1283468391476875,4
D6_UPPER,Ming,personal_birth_cohort,0.25345250308328704,0.034646300226558395,2,10000,0.05612807522843533,5
D6_UPPER,Ming,documentation_general,0.20688185620430172,0.00952013172285814,6,10000,0.04581481834731617,6
D6_UPPER,Ming,family_full_record_capital,0.18981690988068,-0.004515446775165653,10,10000,0.04203571741373139,7
D6_UPPER,Ming,supervised_local_prior,0.17759015566703984,-0.030753139844098526,1,10000,0.039328053563683435,8
D6_UPPER,Ming,continuous_geography,0.14020606322906554,0.013976581177222868,3,10000,0.031049196076859242,9
D6_UPPER,Ming,administrative_geography,0.1154291936597177,-5.4796674961129273e-05,3,10000,0.02556225875252556,10
D6_UPPER,Ming,regional_density,0.039628697758727946,0.009570130906741317,2,10000,0.008775934354358644,11
D6_UPPER,Ming,address_observability,0.022577231039167076,0.0024658985003242276,2,10000,0.00499981853325676,12
D6_UPPER,Ming,other,0.0,0.0,1,10000,0.0,13
