population,comparison,delta_roc_auc,delta_pr_auc,delta_log_loss
Global,A1 - A0,0.046510232989632194,0.09385513749906382,-0.058652378505427094
Global,A2 - A1,0.01881982851971087,0.07606212367854193,0.0034384470855353677
Global,A3 - A2,1.4251768615136662e-05,-0.00034250421718706736,-0.0003065793612619383
Global,A4 - A3,0.008979887688011279,0.02239619869970011,-0.045858298861564006
Global,A5 - A4,0.00011153675998221146,0.00023529251357479186,7.104670838919969e-06
Global,A6_LOCAL_PRIOR_SENSITIVITY - A5,-0.0004339598000918654,-0.00137666136399206,0.026938244450833537
Ming,A1 - A0,0.05436521635578406,0.04748769585475299,0.12965406526129686
Ming,A2 - A1,0.01650929371306531,0.09048609944803898,-0.012347123472556953
Ming,A3 - A2,0.0001523506049724288,0.0024695935522680568,-0.0010546186403564972
Ming,A4 - A3,0.03011843325175867,0.09934094499615587,-0.06512874120796247
Ming,A5 - A4,0.00015979203507920925,-0.00025106238890082455,0.0014443495104885518
Ming,A6_LOCAL_PRIOR_SENSITIVITY - A5,-0.0009764691181034513,-0.0010978502401869372,0.0009050232973637495
Song,A1 - A0,0.20042544820464703,0.14716208286060828,-0.1496902019401226
Song,A2 - A1,0.10200252855050429,0.16642061431970734,-0.06761341405595861
Song,A3 - A2,0.00031079566659997226,0.0008829232654088415,0.0003350306956241278
Song,A4 - A3,0.0005141829720374247,0.001087744753655251,-3.618813891920203e-05
Song,A5 - A4,-0.000367290007182719,-0.0010782552620017816,-0.0009462047716971012
Song,A6_LOCAL_PRIOR_SENSITIVITY - A5,0.00015174374760984488,0.00028173488220384346,0.0005639318965557361
