population,comparison,metric,mean_delta,std_delta,min_delta,max_delta,median_delta,n_positive_seeds,n_seeds,practical_magnitude
Global,F3 - F2,roc_auc,0.0006200738778309178,8.629226993607496e-05,0.00052021451756179,0.0007195673860920238,0.0005881998879424533,5,5,small
Global,F3 - F2,pr_auc,0.0008036294664450106,0.00041646106408174894,0.00011731466410724867,0.0011650215512690743,0.0008673242983148199,5,5,not_flagged
Global,F3 - F2,log_loss,0.003178866443111672,0.010393583610748127,-0.0017085851979661837,0.021769204213587856,-0.001379940791081058,1,5,not_flagged
Global,F3 - F2,brier_score,0.0009850069911181343,0.0032863758487536323,-0.0005849289347669845,0.006862390062378446,-0.000425527008695914,1,5,not_flagged
Global,F4 - F2,roc_auc,0.00032884414408178574,8.158982887909997e-05,0.00024669796654608334,0.00045737701868553415,0.0003110036153043394,5,5,small
Global,F4 - F2,pr_auc,0.0003021906503606342,0.000520841216492489,-0.0006136793345552505,0.0006750002353879125,0.0004987541887366831,4,5,not_flagged
Global,F4 - F2,log_loss,0.0038433831034974776,0.010306555524536909,-0.0010849557662789833,0.02227549998464884,-0.0006358670013305034,1,5,not_flagged
Global,F4 - F2,brier_score,0.0012174676225576192,0.0032885997462870405,-0.0003523083302322677,0.007098476951948346,-0.00022500821364120072,1,5,not_flagged
Global,D6 - D5,roc_auc,0.00040686336141790844,0.0001023306757417073,0.0002698222390840055,0.0005387717952881621,0.00041886110961153467,5,5,small
Global,D6 - D5,pr_auc,0.0005100448839600258,0.00018309052225492267,0.00027582309723017673,0.0006632205614089948,0.0006115292148991536,5,5,not_flagged
Global,D6 - D5,log_loss,-0.0008119109649455836,0.00022273897177581956,-0.0010980919779759457,-0.0005456566713428201,-0.0007416983626097329,0,5,not_flagged
Global,D6 - D5,brier_score,-0.0003174598530571532,7.694059882012275e-05,-0.0003905577317126624,-0.00020634270649716457,-0.00031902688745204244,0,5,not_flagged
Global,D6i - D5,roc_auc,0.0002465346462703799,0.00017708555743548298,0.00010515418354573036,0.0004579075132161714,0.00014206333479860334,5,5,small
Global,D6i - D5,pr_auc,0.00021578468803535867,0.00028310800436222614,-6.516201752337913e-05,0.0006730485101356098,0.00018807964456768467,4,5,not_flagged
Global,D6i - D5,log_loss,0.004095854757261963,0.00979666628856915,-0.0006920557650209602,0.021615483271335056,-0.0001749183606379323,1,5,not_flagged
Global,D6i - D5,brier_score,0.0012942904223718326,0.0031843327522661515,-0.00026397974009202685,0.0069888424282415484,-8.457594960149806e-05,1,5,not_flagged
Song,F3 - F2,roc_auc,0.00229507810656171,0.00030483799417086274,0.0018214497261803686,0.002673882003365824,0.0023319850119774,5,5,not_flagged
Song,F3 - F2,pr_auc,0.002127713326478964,0.000361502466908422,0.0016831154062778575,0.0026070978077703533,0.0021667498444990496,5,5,not_flagged
Song,F3 - F2,log_loss,-0.004886100174161556,0.0006528910657165785,-0.005740241230883347,-0.004252533919225532,-0.004642899526237199,0,5,not_flagged
Song,F3 - F2,brier_score,-0.001986321426231172,0.00023222970431281822,-0.0023751713034962513,-0.0018070891109327192,-0.0019642726923893294,0,5,not_flagged
Song,F4 - F2,roc_auc,0.0011883573022582583,0.000306235549885787,0.0009024759726267151,0.0016028829264221889,0.001098683095674735,5,5,small
Song,F4 - F2,pr_auc,0.0010337231538990687,0.00031920147602540184,0.0006722911511025664,0.0013830287878292546,0.0010487548377415834,5,5,not_flagged
Song,F4 - F2,log_loss,-0.0025586956405974416,0.0008174585375812771,-0.0036401804523753523,-0.0013756014705159636,-0.0025650528445820275,0,5,not_flagged
Song,F4 - F2,brier_score,-0.0010082288336949435,0.00034256774329163864,-0.0014415140043482488,-0.0005467039059480344,-0.0010459010919742912,0,5,not_flagged
Song,D6 - D5,roc_auc,0.0008030336462578669,0.00020319536621031615,0.0005448235364586829,0.0010875352545672845,0.0008312245013933905,5,5,small
Song,D6 - D5,pr_auc,0.0006688308118484754,0.0003982807173190701,0.00015854649033397727,0.0011310918267494197,0.0007404736265613776,5,5,not_flagged
Song,D6 - D5,log_loss,-0.002474253318604125,0.0005573503817833044,-0.003274999402674339,-0.0018928374175585794,-0.0022018357041062586,0,5,not_flagged
Song,D6 - D5,brier_score,-0.0009637650424998756,0.00022075820989501092,-0.0013392596664803108,-0.0007905048835684519,-0.0009187120761773443,0,5,not_flagged
Song,D6i - D5,roc_auc,0.0002829452621803563,0.00021184855655829326,-7.392644114323499e-05,0.0004667502520103728,0.0003280997781694994,4,5,small
Song,D6i - D5,pr_auc,0.00026282742557122153,0.00029396040295291784,-0.0001215381617793998,0.0006608031948726056,0.0002916121949134709,4,5,not_flagged
Song,D6i - D5,log_loss,-0.0008324881706589738,0.0003283327550632532,-0.001279748342839504,-0.0004608371586535265,-0.0007320588871333467,0,5,not_flagged
