population,feature_block,comparison,delta_roc_auc,delta_pr_auc,delta_log_loss,roc_ci_lower,roc_ci_upper,pr_ci_lower,pr_ci_upper,ci_status
Global,Personal: gender,P1 - P0,0.0526088510009074,0.0579507572429536,-0.0525274647951418,,,,,paired predictions not retained for this exact contrast
Ming,Personal: gender,P1 - P0,0.1120304397303583,0.0435805004026468,-0.0217132165437944,,,,,paired predictions not retained for this exact contrast
Song,Personal: gender,P1 - P0,0.0471455767260723,0.0247703277724911,-0.0138473862452133,,,,,paired predictions not retained for this exact contrast
Global,Address observability,A1 - A0,0.0465102329896321,0.0938551374990638,-0.058652378505427,,,,,paired predictions not retained for this exact contrast
Ming,Address observability,A1 - A0,0.054365216355784,0.0474876958547529,0.1296540652612968,,,,,paired predictions not retained for this exact contrast
Song,Address observability,A1 - A0,0.200425448204647,0.1471620828606082,-0.1496902019401226,,,,,paired predictions not retained for this exact contrast
Global,Administrative geography,A2 - A1,0.0188198285197108,0.0760621236785419,0.0034384470855353,,,,,paired predictions not retained for this exact contrast
Ming,Administrative geography,A2 - A1,0.0165092937130653,0.0904860994480389,-0.0123471234725569,,,,,paired predictions not retained for this exact contrast
Song,Administrative geography,A2 - A1,0.1020025285505042,0.1664206143197073,-0.0676134140559586,,,,,paired predictions not retained for this exact contrast
Global,Physical geography,A3 - A2,1.4251768615136662e-05,-0.000342504217187,-0.0003065793612619,,,,,EXACT_PAIRED_PREDICTIONS_NOT_RETAINED
Ming,Physical geography,A3 - A2,0.0001523506049724,0.002469593552268,-0.0010546186403564,,,,,EXACT_PAIRED_PREDICTIONS_NOT_RETAINED
Song,Physical geography,A3 - A2,0.0003107956665999,0.0008829232654088,0.0003350306956241,,,,,EXACT_PAIRED_PREDICTIONS_NOT_RETAINED
Global,Address-record semantics,A4 - A3,0.0089798876880112,0.0223961986997001,-0.045858298861564,,,,,paired predictions not retained for this exact contrast
Ming,Address-record semantics,A4 - A3,0.0301184332517586,0.0993409449961558,-0.0651287412079624,,,,,paired predictions not retained for this exact contrast
Song,Address-record semantics,A4 - A3,0.0005141829720374,0.0010877447536552,-3.618813891920203e-05,,,,,paired predictions not retained for this exact contrast
Global,Family observability,F1 - F0,0.0217281677798329,0.0354383397307325,-0.0414441537415032,,,,,paired predictions not retained for this exact contrast
Ming,Family observability,F1 - F0,0.0880763117643359,0.1059578596381338,0.0206612830685537,,,,,paired predictions not retained for this exact contrast
Song,Family observability,F1 - F0,0.0364379281551717,0.0565697950674597,-0.0615554092518929,,,,,paired predictions not retained for this exact contrast
Global,Family topology,F2 - F1,0.0022510674796967,0.0023809984008524,-0.0050100046495489,0.0018849108477974,0.0026209145650746,0.0017921746285036,0.0029247358379338,500-resample stratified paired bootstrap
Ming,Family topology,F2 - F1,0.0078708239215002,0.0107086947572638,-0.0095096077080494,0.0063588752486973,0.009373913112667,0.0087365453969904,0.0128265857353931,500-resample stratified paired bootstrap
Song,Family topology,F2 - F1,0.009135738980276,0.0078107008449329,-0.0181089444130753,0.0074376114464138,0.0105659583585257,0.0059637883869959,0.0095486879120265,500-resample stratified paired bootstrap
Global,Family capital (full record),F3 - F2,0.0007009198308267,0.0010984840695449,-0.001379940791081,0.0004710098504185,0.0009400848947272,0.0007053883497135,0.0015384792079597,500-resample stratified paired bootstrap
Ming,Family capital (full record),F3 - F2,-0.0003185589891785,0.0005755950355059,-0.0883669299354172,-0.0009406509660002,0.0001820253974281,-0.0003568501042682,0.0014535489088774,500-resample stratified paired bootstrap
Song,Family capital (full record),F3 - F2,0.0018214497261802,0.0018774821095266,-0.0042525339192255,0.0008580973898948,0.0026965283754151,0.0005615339450774,0.0030544745879082,500-resample stratified paired bootstrap
Global,Family capital (train observed),F4 - F2,0.0003110036153044,0.0005411285517097,-0.0006358670013305,0.0001145661641584,0.0005008317588862,0.0002082601136912,0.0009099457851447,500-resample stratified paired bootstrap
Ming,Family capital (train observed),F4 - F2,-0.0003937133219721,0.00052520177984,-0.0883635260977902,-0.0009698522751963,0.0001933534330334,-0.000369164151821,0.0014099815659384,500-resample stratified paired bootstrap
Song,Family capital (train observed),F4 - F2,0.0009024759726267,0.0010487548377414,-0.002565052844582,0.0002201180263279,0.0015653597540152,0.0001683189832123,0.0018848044611655,500-resample stratified paired bootstrap
