dynasty,semantic_category,n_records,dynasty_entry_records,record_category_share,measure,n_people_with_category,all_cbdb_people_in_dynasty,entry_positive_people_in_dynasty,prevalence_among_all_cbdb_people,prevalence_among_entry_positive_people,nonexclusive_categories
Tang,exam_degree,1614.0,2072.0,0.778957528957529,record_share,,,,,,
Tang,school_or_student_status,4.0,2072.0,0.0019305019305019,record_share,,,,,,
Tang,recommendation,33.0,2072.0,0.0159266409266409,record_share,,,,,,
Tang,hereditary_or_yin_privilege,80.0,2072.0,0.0386100386100386,record_share,,,,,,
Tang,military_entry,10.0,2072.0,0.0048262548262548,record_share,,,,,,
Tang,purchase_or_donation,0.0,2072.0,0.0,record_share,,,,,,
Tang,direct_appointment,180.0,2072.0,0.0868725868725868,record_share,,,,,,
Tang,other_clear_entry,2.0,2072.0,0.0009652509652509,record_share,,,,,,
Tang,failed_entry,4.0,2072.0,0.0019305019305019,record_share,,,,,,
Tang,ambiguous,145.0,2072.0,0.0699806949806949,record_share,,,,,,
Tang,unknown,0.0,2072.0,0.0,record_share,,,,,,
Song,exam_degree,36308.0,41298.0,0.8791709041600078,record_share,,,,,,
Song,school_or_student_status,428.0,41298.0,0.0103636979999031,record_share,,,,,,
Song,recommendation,197.0,41298.0,0.004770206789675,record_share,,,,,,
Song,hereditary_or_yin_privilege,2137.0,41298.0,0.0517458472565257,record_share,,,,,,
Song,military_entry,185.0,41298.0,0.0044796358177151,record_share,,,,,,
Song,purchase_or_donation,15.0,41298.0,0.0003632137149498,record_share,,,,,,
Song,direct_appointment,250.0,41298.0,0.0060535619158312,record_share,,,,,,
Song,other_clear_entry,441.0,41298.0,0.0106784832195263,record_share,,,,,,
Song,failed_entry,248.0,41298.0,0.0060051334205046,record_share,,,,,,
Song,ambiguous,1086.0,41298.0,0.026296672962371,record_share,,,,,,
Song,unknown,3.0,41298.0,7.26427429899753e-05,record_share,,,,,,
Yuan,exam_degree,1051.0,2425.0,0.4334020618556701,record_share,,,,,,
Yuan,school_or_student_status,18.0,2425.0,0.0074226804123711,record_share,,,,,,
Yuan,recommendation,349.0,2425.0,0.1439175257731959,record_share,,,,,,
Yuan,hereditary_or_yin_privilege,459.0,2425.0,0.1892783505154639,record_share,,,,,,
Yuan,military_entry,37.0,2425.0,0.0152577319587628,record_share,,,,,,
Yuan,purchase_or_donation,5.0,2425.0,0.002061855670103,record_share,,,,,,
Yuan,direct_appointment,342.0,2425.0,0.1410309278350515,record_share,,,,,,
Yuan,other_clear_entry,19.0,2425.0,0.0078350515463917,record_share,,,,,,
Yuan,failed_entry,43.0,2425.0,0.0177319587628865,record_share,,,,,,
Yuan,ambiguous,102.0,2425.0,0.042061855670103,record_share,,,,,,
Yuan,unknown,0.0,2425.0,0.0,record_share,,,,,,
Ming,exam_degree,49596.0,74652.0,0.6643626426619514,record_share,,,,,,
Ming,school_or_student_status,23067.0,74652.0,0.308993730911429,record_share,,,,,,
Ming,recommendation,271.0,74652.0,0.0036301773562664,record_share,,,,,,
Ming,hereditary_or_yin_privilege,1090.0,74652.0,0.0146010823554626,record_share,,,,,,
Ming,military_entry,25.0,74652.0,0.0003348872099876,record_share,,,,,,
Ming,purchase_or_donation,13.0,74652.0,0.0001741413491935,record_share,,,,,,
Ming,direct_appointment,143.0,74652.0,0.0019155548411295,record_share,,,,,,
Ming,other_clear_entry,264.0,74652.0,0.0035364089374698,record_share,,,,,,
Ming,failed_entry,15.0,74652.0,0.0002009323259926,record_share,,,,,,
Ming,ambiguous,167.0,74652.0,0.0022370465627176,record_share,,,,,,
Ming,unknown,1.0,74652.0,1.3395488399507046e-05,record_share,,,,,,
Qing,exam_degree,73598.0,142168.0,0.5176833042597491,record_share,,,,,,
Qing,school_or_student_status,62422.0,142168.0,0.4390720837319228,record_share,,,,,,
Qing,recommendation,92.0,142168.0,0.0006471217151539,record_share,,,,,,
Qing,hereditary_or_yin_privilege,702.0,142168.0,0.0049378200438917,record_share,,,,,,
Qing,military_entry,4718.0,142168.0,0.0331860896966968,record_share,,,,,,
Qing,purchase_or_donation,13.0,142168.0,9.1441111923921e-05,record_share,,,,,,
Qing,direct_appointment,226.0,142168.0,0.0015896685611389,record_share,,,,,,
Qing,other_clear_entry,8.0,142168.0,5.627145349164369e-05,record_share,,,,,,
Qing,failed_entry,20.0,142168.0,0.0001406786337291,record_share,,,,,,
Qing,ambiguous,359.0,142168.0,0.0025251814754375,record_share,,,,,,
Qing,unknown,10.0,142168.0,7.03393168645546e-05,record_share,,,,,,
Tang,exam_degree,,,,person_prevalence,1403.0,57477.0,1824.0,0.0244097639055622,0.7691885964912281,True
Tang,school_or_student_status,,,,person_prevalence,4.0,57477.0,1824.0,6.959305461314961e-05,0.0021929824561403,True
Tang,recommendation,,,,person_prevalence,33.0,57477.0,1824.0,0.0005741427005584,0.0180921052631578,True
Tang,hereditary_or_yin_privilege,,,,person_prevalence,80.0,57477.0,1824.0,0.0013918610922629,0.043859649122807,True
Tang,military_entry,,,,person_prevalence,10.0,57477.0,1824.0,0.0001739826365328,0.0054824561403508,True
Tang,purchase_or_donation,,,,person_prevalence,0.0,57477.0,1824.0,0.0,0.0,True
Tang,direct_appointment,,,,person_prevalence,179.0,57477.0,1824.0,0.0031142891939384,0.0981359649122807,True
Tang,other_clear_entry,,,,person_prevalence,2.0,57477.0,1824.0,3.4796527306574805e-05,0.0010964912280701,True
Tang,failed_entry,,,,person_prevalence,4.0,57477.0,1824.0,6.959305461314961e-05,0.0021929824561403,True
Tang,ambiguous,,,,person_prevalence,142.0,57477.0,1824.0,0.0024705534387668,0.0778508771929824,True
Tang,unknown,,,,person_prevalence,0.0,57477.0,1824.0,0.0,0.0,True
Song,exam_degree,,,,person_prevalence,35887.0,83373.0,40247.0,0.430439110983172,0.8916689442691381,True
Song,school_or_student_status,,,,person_prevalence,425.0,83373.0,40247.0,0.0050975735549878,0.0105597932765175,True
Song,recommendation,,,,person_prevalence,196.0,83373.0,40247.0,0.0023508809806532,0.0048699281934057,True
Song,hereditary_or_yin_privilege,,,,person_prevalence,2105.0,83373.0,40247.0,0.0252479819605867,0.0523020349342808,True
Song,military_entry,,,,person_prevalence,185.0,83373.0,40247.0,0.0022189437827594,0.004596615896837,True
Song,purchase_or_donation,,,,person_prevalence,15.0,83373.0,40247.0,0.0001799143607642,0.00037269858623,True
Song,direct_appointment,,,,person_prevalence,246.0,83373.0,40247.0,0.0029505955165341,0.0061122568141724,True
Song,other_clear_entry,,,,person_prevalence,437.0,83373.0,40247.0,0.0052415050435992,0.0108579521455015,True
Song,failed_entry,,,,person_prevalence,246.0,83373.0,40247.0,0.0029505955165341,0.0061122568141724,True
Song,ambiguous,,,,person_prevalence,1081.0,83373.0,40247.0,0.0129658282657455,0.0268591447809774,True
Song,unknown,,,,person_prevalence,3.0,83373.0,40247.0,3.598287215285524e-05,7.453971724600591e-05,True
Yuan,exam_degree,,,,person_prevalence,1027.0,25310.0,2331.0,0.0405768470960094,0.4405834405834405,True
Yuan,school_or_student_status,,,,person_prevalence,18.0,25310.0,2331.0,0.0007111813512445,0.0077220077220077,True
Yuan,recommendation,,,,person_prevalence,346.0,25310.0,2331.0,0.0136704859739233,0.1484341484341484,True
Yuan,hereditary_or_yin_privilege,,,,person_prevalence,457.0,25310.0,2331.0,0.0180561043065981,0.196053196053196,True
Yuan,military_entry,,,,person_prevalence,36.0,25310.0,2331.0,0.0014223627024891,0.0154440154440154,True
Yuan,purchase_or_donation,,,,person_prevalence,5.0,25310.0,2331.0,0.0001975503753457,0.0021450021450021,True
Yuan,direct_appointment,,,,person_prevalence,341.0,25310.0,2331.0,0.0134729355985776,0.1462891462891463,True
Yuan,other_clear_entry,,,,person_prevalence,19.0,25310.0,2331.0,0.0007506914263137,0.0081510081510081,True
Yuan,failed_entry,,,,person_prevalence,43.0,25310.0,2331.0,0.0016989332279731,0.0184470184470184,True
Yuan,ambiguous,,,,person_prevalence,99.0,25310.0,2331.0,0.0039114974318451,0.0424710424710424,True
Yuan,unknown,,,,person_prevalence,0.0,25310.0,2331.0,0.0,0.0,True
Ming,exam_degree,,,,person_prevalence,34427.0,225403.0,44915.0,0.1527353229548852,0.7664922631637537,True
Ming,school_or_student_status,,,,person_prevalence,22817.0,225403.0,44915.0,0.1012275790473063,0.5080040075698542,True
Ming,recommendation,,,,person_prevalence,271.0,225403.0,44915.0,0.0012022910076618,0.006033619058221,True
Ming,hereditary_or_yin_privilege,,,,person_prevalence,1087.0,225403.0,44915.0,0.004822473525197,0.0242012690637871,True
Ming,military_entry,,,,person_prevalence,25.0,225403.0,44915.0,0.0001109124545813,0.0005566069241901,True
Ming,purchase_or_donation,,,,person_prevalence,13.0,225403.0,44915.0,5.767447638230192e-05,0.0002894356005788,True
Ming,direct_appointment,,,,person_prevalence,143.0,225403.0,44915.0,0.0006344192402053,0.0031837916063675,True
Ming,other_clear_entry,,,,person_prevalence,264.0,225403.0,44915.0,0.001171235520379,0.0058777691194478,True
Ming,failed_entry,,,,person_prevalence,14.0,225403.0,44915.0,6.211097456555591e-05,0.0003116998775464,True
Ming,ambiguous,,,,person_prevalence,156.0,225403.0,44915.0,0.0006920937165876,0.0034732272069464,True
Ming,unknown,,,,person_prevalence,1.0,225403.0,44915.0,4.436498183253994e-06,2.226427696760548e-05,True
Qing,exam_degree,,,,person_prevalence,70252.0,237423.0,129499.0,0.2958938266301074,0.5424906756036726,True
Qing,school_or_student_status,,,,person_prevalence,57173.0,237423.0,129499.0,0.2408064930524844,0.441493756708546,True
Qing,recommendation,,,,person_prevalence,91.0,237423.0,129499.0,0.0003832821588472,0.0007027081290203,True
Qing,hereditary_or_yin_privilege,,,,person_prevalence,701.0,237423.0,129499.0,0.0029525361906807,0.0054131692136618,True
Qing,military_entry,,,,person_prevalence,4631.0,237423.0,129499.0,0.0195052711826571,0.0357608939065166,True
Qing,purchase_or_donation,,,,person_prevalence,13.0,237423.0,129499.0,5.475459412104135e-05,0.0001003868755743,True
Qing,direct_appointment,,,,person_prevalence,226.0,237423.0,129499.0,0.000951887559335,0.0017451872215229,True
Qing,other_clear_entry,,,,person_prevalence,8.0,237423.0,129499.0,3.369513484371775e-05,6.177653881497155e-05,True
Qing,failed_entry,,,,person_prevalence,20.0,237423.0,129499.0,8.423783710929439e-05,0.0001544413470374,True
Qing,ambiguous,,,,person_prevalence,358.0,237423.0,129499.0,0.0015078572842563,0.0027645001119699,True
Qing,unknown,,,,person_prevalence,10.0,237423.0,129499.0,4.211891855464719e-05,7.722067351871443e-05,True
