population,model_id,roc_auc,pr_auc,balanced_accuracy,f1,log_loss,brier_score,calibrated_ece,test_positive_rate,n_test,model_role
Global,Logistic M6,0.9160384610622774,0.8435958925187246,0.8485440623436041,0.7924250940377882,0.363532382799033,0.1128206675327005,,0.3338536054860181,99307,Frozen linear baseline
Song,Logistic M6,0.9007690602485136,0.8809945821362193,0.8333272837203636,0.8316593009240658,0.3984575172473052,0.1223207350711048,,0.4827310521266389,12508,Frozen linear baseline
Ming,Logistic M6,0.9020575661139408,0.776509717638805,0.801987617767278,0.6969319420650989,0.3499562107456301,0.1126257950782333,,0.1992783627114633,33812,Frozen linear baseline
Global,H_STRUCT,0.9267209660441544,0.8582112751219519,0.8608906124007977,0.8095487627365358,0.3392977105066311,0.1048158326481559,0.0036436302634575,0.3338536054860181,99307,Historical structural benchmark
Global,D5_MAIN,0.936955877037764,0.8825352295500284,0.8690446735312085,0.8207693432792161,0.3151056907565584,0.0973562808138932,0.0034382822754255,0.3338536054860181,99307,Main predictive model
Global,D6_UPPER,0.9374210585041304,0.8831280592132493,0.8697392892085117,0.8217321958999723,0.3139500080736194,0.0969377870247619,0.0033980943272139,0.3338536054860181,99307,Database-internal record-structure upper bound
Song,H_STRUCT,0.9183498072229818,0.911649626636581,0.8478164054240711,0.8424890214599386,0.3603957192541899,0.1111990944711756,0.0071906539617166,0.4827310521266389,12508,Historical structural benchmark
Song,D5_MAIN,0.9383512355801203,0.9398376881493024,0.8708852435348922,0.8654569780081947,0.3088897482524,0.0939856205836762,0.0094394700280299,0.4827310521266389,12508,Main predictive model
Song,D6_UPPER,0.9397977031607648,0.9411947278513784,0.871448318301453,0.8660535117056856,0.3054518119235456,0.0927990150871405,0.0101543345062317,0.4827310521266389,12508,Database-internal record-structure upper bound
Ming,H_STRUCT,0.91065667169954,0.7799086087786353,0.8130060378037147,0.7122485161489247,0.3463084227058889,0.1096598096791311,0.0028778323069544,0.1992783627114633,33812,Historical structural benchmark
Ming,D5_MAIN,0.9163951051736374,0.8005274458259068,0.8169323446334094,0.7269565217391304,0.3229472636731736,0.1025721794854021,0.0027360937073309,0.1992783627114633,33812,Main predictive model
Ming,D6_UPPER,0.916695675910222,0.8011964712795524,0.8177677472598928,0.7278610891870559,0.3224005291165286,0.1023111585634168,0.0025127903017441,0.1992783627114633,33812,Database-internal record-structure upper bound
