population,comparison,delta_roc_auc,delta_pr_auc,delta_log_loss,panel,model_id,support_definition,matched_random_roc_auc,matched_spatial_roc_auc,delta_spatial_minus_random_roc_auc,matched_random_pr_auc,matched_spatial_pr_auc,delta_spatial_minus_random_pr_auc,random_roc_ci_lower,random_roc_ci_upper,spatial_roc_ci_lower,spatial_roc_ci_upper,random_pr_ci_lower,random_pr_ci_upper,spatial_pr_ci_lower,spatial_pr_ci_upper,paired_individual_bootstrap_used,interpretation
Global,A1 - A0,0.0465102329896321,0.0938551374990638,-0.058652378505427,address,,,,,,,,,,,,,,,,,,
Global,A2 - A1,0.0188198285197108,0.0760621236785419,0.0034384470855353,address,,,,,,,,,,,,,,,,,,
Global,A3 - A2,1.4251768615136662e-05,-0.000342504217187,-0.0003065793612619,address,,,,,,,,,,,,,,,,,,
Global,A4 - A3,0.0089798876880112,0.0223961986997001,-0.045858298861564,address,,,,,,,,,,,,,,,,,,
Global,A5 - A4,0.0001115367599822,0.0002352925135747,7.104670838919969e-06,address,,,,,,,,,,,,,,,,,,
Global,A6_LOCAL_PRIOR_SENSITIVITY - A5,-0.0004339598000918,-0.001376661363992,0.0269382444508335,address,,,,,,,,,,,,,,,,,,
Ming,A1 - A0,0.054365216355784,0.0474876958547529,0.1296540652612968,address,,,,,,,,,,,,,,,,,,
Ming,A2 - A1,0.0165092937130653,0.0904860994480389,-0.0123471234725569,address,,,,,,,,,,,,,,,,,,
Ming,A3 - A2,0.0001523506049724,0.002469593552268,-0.0010546186403564,address,,,,,,,,,,,,,,,,,,
Ming,A4 - A3,0.0301184332517586,0.0993409449961558,-0.0651287412079624,address,,,,,,,,,,,,,,,,,,
Ming,A5 - A4,0.0001597920350792,-0.0002510623889008,0.0014443495104885,address,,,,,,,,,,,,,,,,,,
Ming,A6_LOCAL_PRIOR_SENSITIVITY - A5,-0.0009764691181034,-0.0010978502401869,0.0009050232973637,address,,,,,,,,,,,,,,,,,,
Song,A1 - A0,0.200425448204647,0.1471620828606082,-0.1496902019401226,address,,,,,,,,,,,,,,,,,,
Song,A2 - A1,0.1020025285505042,0.1664206143197073,-0.0676134140559586,address,,,,,,,,,,,,,,,,,,
Song,A3 - A2,0.0003107956665999,0.0008829232654088,0.0003350306956241,address,,,,,,,,,,,,,,,,,,
Song,A4 - A3,0.0005141829720374,0.0010877447536552,-3.618813891920203e-05,address,,,,,,,,,,,,,,,,,,
Song,A5 - A4,-0.0003672900071827,-0.0010782552620017,-0.0009462047716971,address,,,,,,,,,,,,,,,,,,
Song,A6_LOCAL_PRIOR_SENSITIVITY - A5,0.0001517437476098,0.0002817348822038,0.0005639318965557,address,,,,,,,,,,,,,,,,,,
Global,,,,,spatial,D5_MAIN,identical reliable historical-prefecture population,0.9197477389536568,0.8975711095659675,-0.0221766293876892,0.9149042485356076,0.879051501780591,-0.0358527467550165,0.9176230912679773,0.9218041826806066,0.8948783161872014,0.8999718620957305,0.9124390376247626,0.9171395165407366,0.8760366809095322,0.8822765126320221,False,matched-support spatial distribution-shift sensitivity
Global,,,,,spatial,H_STRUCT,identical reliable historical-prefecture population,0.9031527125717268,0.8724387170037653,-0.0307139955679613,0.8917178567592,0.8312907280180819,-0.0604271287411181,0.9005542149065874,0.9055545147098056,0.8696192913532902,0.875204980569452,0.8885038138561657,0.894612000667205,0.8274295815953152,0.834848877040735,False,matched-support spatial distribution-shift sensitivity
Ming,,,,,spatial,D5_MAIN,identical reliable historical-prefecture population,0.939115401038238,0.9326919543738448,-0.0064234466643933,0.9263141356095286,0.9207400473082086,-0.00557408830132,0.9348318515409756,0.9435214446523716,0.9280226197679344,0.9372960874132412,0.9216463102757996,0.9310285238252536,0.916208923703542,0.9255298257220856,False,matched-support spatial distribution-shift sensitivity
Ming,,,,,spatial,H_STRUCT,identical reliable historical-prefecture population,0.930106588971318,0.9228096237494996,-0.0072969652218184,0.9056598926248638,0.8950599889317346,-0.0105999036931292,0.9255391013785012,0.9347629160508188,0.918226529190128,0.9274455900521268,0.9004306597298145,0.9114684183937842,0.8895088120353359,0.9005776199975607,False,matched-support spatial distribution-shift sensitivity
Song,,,,,spatial,D5_MAIN,identical reliable historical-prefecture population,0.9182668927526338,0.8938114774017034,-0.0244554153509304,0.9601313522154914,0.9333611952755008,-0.0267701569399907,0.9129991245043548,0.9240059251714816,0.8871895167861217,0.9004617913106125,0.9572631352999414,0.9636583155296043,0.9279598045359032,0.9391780443802152,False,matched-support spatial distribution-shift sensitivity
Song,,,,,spatial,H_STRUCT,identical reliable historical-prefecture population,0.8727191351840721,0.8106538053593229,-0.0620653298247492,0.9299213905783774,0.8522202136326071,-0.0777011769457702,0.8657893915838633,0.8801342918797045,0.8017269571419994,0.820346055983281,0.9248392531736288,0.9357605535326964,0.8435790374513538,0.861153207103094,False,matched-support spatial distribution-shift sensitivity
