algorithm,population,target_name,split_protocol,subset,model_a,model_b,comparison,delta_roc_auc,delta_pr_auc,delta_log_loss,block
CatBoost,Global,target_entry_v1,primary,all,F0,F1,F1 - F0,0.0217281677798329,0.0354383397307325,-0.0414441537415032,observability
CatBoost,Global,target_entry_v1,primary,all,F1,F2,F2 - F1,0.0022510674796967,0.0023809984008524,-0.0050100046495489,topology
CatBoost,Global,target_entry_v1,primary,all,F2,F3,F3 - F2,0.0007009198308267,0.0010984840695449,-0.001379940791081,full-record capital
CatBoost,Ming,target_entry_v1,primary,all,F0,F1,F1 - F0,0.0880763117643359,0.1059578596381338,0.0206612830685537,observability
CatBoost,Ming,target_entry_v1,primary,all,F1,F2,F2 - F1,0.0078708239215002,0.0107086947572638,-0.0095096077080494,topology
CatBoost,Ming,target_entry_v1,primary,all,F2,F3,F3 - F2,-0.0003185589891785,0.0005755950355059,-0.0883669299354172,full-record capital
CatBoost,Song,target_entry_v1,primary,all,F0,F1,F1 - F0,0.0364379281551717,0.0565697950674597,-0.0615554092518929,observability
CatBoost,Song,target_entry_v1,primary,all,F1,F2,F2 - F1,0.009135738980276,0.0078107008449329,-0.0181089444130753,topology
CatBoost,Song,target_entry_v1,primary,all,F2,F3,F3 - F2,0.0018214497261802,0.0018774821095266,-0.0042525339192255,full-record capital
CatBoost,Global,target_entry_v1,primary,all,F2,F4,F4 - F2,0.0003110036153044,0.0005411285517097,-0.0006358670013305,train-observed capital
CatBoost,Ming,target_entry_v1,primary,all,F2,F4,F4 - F2,-0.0003937133219721,0.00052520177984,-0.0883635260977902,train-observed capital
CatBoost,Song,target_entry_v1,primary,all,F2,F4,F4 - F2,0.0009024759726267,0.0010487548377414,-0.002565052844582,train-observed capital
