population,comparison,metric,mean_delta,std_delta,min_delta,max_delta,median_delta,n_positive_seeds,n_seeds,practical_magnitude
Global,F3 - F2,roc_auc,0.0006200738778309,8.629226993607496e-05,0.0005202145175617,0.000719567386092,0.0005881998879424,5,5,small
Global,F4 - F2,roc_auc,0.0003288441440817,8.158982887909997e-05,0.000246697966546,0.0004573770186855,0.0003110036153043,5,5,small
Global,D6 - D5,roc_auc,0.0004068633614179,0.0001023306757417,0.000269822239084,0.0005387717952881,0.0004188611096115,5,5,small
Global,D6i - D5,roc_auc,0.0002465346462703,0.0001770855574354,0.0001051541835457,0.0004579075132161,0.0001420633347986,5,5,small
Song,F3 - F2,roc_auc,0.0022950781065617,0.0003048379941708,0.0018214497261803,0.0026738820033658,0.0023319850119774,5,5,not_flagged
Song,F4 - F2,roc_auc,0.0011883573022582,0.0003062355498857,0.0009024759726267,0.0016028829264221,0.0010986830956747,5,5,small
Song,D6 - D5,roc_auc,0.0008030336462578,0.0002031953662103,0.0005448235364586,0.0010875352545672,0.0008312245013933,5,5,small
Song,D6i - D5,roc_auc,0.0002829452621803,0.0002118485565582,-7.392644114323499e-05,0.0004667502520103,0.0003280997781694,4,5,small
Ming,F3 - F2,roc_auc,0.000496231287037,0.0007135954107596,-0.0003185589891787,0.0011889459301686,0.0005956597566999,3,5,small
Ming,F4 - F2,roc_auc,4.857348963338559e-06,0.0004396739921341,-0.0003937133219723,0.0006320419089064,-9.376750106504515e-05,2,5,small
Ming,D6 - D5,roc_auc,0.0005171824073825,0.0002592471709587,0.0002163934984826,0.0008614764108693,0.0005352128691932,5,5,small
Ming,D6i - D5,roc_auc,0.0002413638133433,0.0004521023086002,-0.0003421934097357,0.0006845869021225,0.0002660934808512,3,5,small
