population,model_id,selected_weighting_scheme,numeric_class_weights,threshold,threshold_objective,training_objective,selection_objective,calibrator,sigmoid_coefficient,sigmoid_intercept
Global,Logistic M6,class_weight=balanced,NOT_RETAINED,0.53,validation balanced accuracy,binary logistic loss; lbfgs,frozen linear baseline,NOT_RETAINED,NOT_RETAINED,NOT_RETAINED
Global,H_STRUCT,auto_class_weights=Balanced,NOT_RETAINED,0.47,validation balanced accuracy,CatBoost Logloss,"validation ROC-AUC, then lower LogLoss",validation-fitted sigmoid on raw-logit score,1.0141131399756491,-0.6957797613443966
Global,D5_MAIN,auto_class_weights=Balanced,NOT_RETAINED,0.53,validation balanced accuracy,CatBoost Logloss,"validation ROC-AUC, then lower LogLoss",validation-fitted sigmoid on raw-logit score,1.02341787453012,-0.7046655445545176
Global,D6_UPPER,auto_class_weights=Balanced,NOT_RETAINED,0.49,validation balanced accuracy,CatBoost Logloss,"validation ROC-AUC, then lower LogLoss",validation-fitted sigmoid on raw-logit score,1.022593099890336,-0.7043770215795443
Song,Logistic M6,class_weight=balanced,NOT_RETAINED,0.53,validation balanced accuracy,binary logistic loss; lbfgs,frozen linear baseline,NOT_RETAINED,NOT_RETAINED,NOT_RETAINED
Song,H_STRUCT,auto_class_weights=Balanced,NOT_RETAINED,0.56,validation balanced accuracy,CatBoost Logloss,"validation ROC-AUC, then lower LogLoss",validation-fitted sigmoid on raw-logit score,0.9962086659761,-0.0793082663233672
Song,D5_MAIN,auto_class_weights=Balanced,NOT_RETAINED,0.52,validation balanced accuracy,CatBoost Logloss,"validation ROC-AUC, then lower LogLoss",validation-fitted sigmoid on raw-logit score,0.996764536571632,-0.1037452782677752
Song,D6_UPPER,auto_class_weights=Balanced,NOT_RETAINED,0.56,validation balanced accuracy,CatBoost Logloss,"validation ROC-AUC, then lower LogLoss",validation-fitted sigmoid on raw-logit score,1.008454459217038,-0.0992043277853306
Ming,Logistic M6,class_weight=balanced,NOT_RETAINED,0.49,validation balanced accuracy,binary logistic loss; lbfgs,frozen linear baseline,NOT_RETAINED,NOT_RETAINED,NOT_RETAINED
Ming,H_STRUCT,auto_class_weights=Balanced,NOT_RETAINED,0.52,validation balanced accuracy,CatBoost Logloss,"validation ROC-AUC, then lower LogLoss",validation-fitted sigmoid on raw-logit score,1.0281570033660068,-1.377242534476035
Ming,D5_MAIN,auto_class_weights=Balanced,NOT_RETAINED,0.5,validation balanced accuracy,CatBoost Logloss,"validation ROC-AUC, then lower LogLoss",validation-fitted sigmoid on raw-logit score,1.049389982648144,-1.3590691565413389
Ming,D6_UPPER,auto_class_weights=Balanced,NOT_RETAINED,0.47,validation balanced accuracy,CatBoost Logloss,"validation ROC-AUC, then lower LogLoss",validation-fitted sigmoid on raw-logit score,1.0523070314156877,-1.359873833163064
