population,protocol,split,n_people,positive_rate,n_groups,group_definition,status,source_artifact,note
Global,SAFE_temporal,not_eligible,601273,0.3262594528608469,,whole-year SAFE birth anchor,SPLIT_ONLY_NO_LOCKED_PERFORMANCE,outputs/phase3/tables/safe_temporal_split_context.csv,No locked-model temporal performance artifact
Global,SAFE_temporal,test,8963,0.1759455539439919,,whole-year SAFE birth anchor,SPLIT_ONLY_NO_LOCKED_PERFORMANCE,outputs/phase3/tables/safe_temporal_split_context.csv,No locked-model temporal performance artifact
Global,SAFE_temporal,train,41937,0.4869447027684384,,whole-year SAFE birth anchor,SPLIT_ONLY_NO_LOCKED_PERFORMANCE,outputs/phase3/tables/safe_temporal_split_context.csv,No locked-model temporal performance artifact
Global,SAFE_temporal,validation,8951,0.2746061892525975,,whole-year SAFE birth anchor,SPLIT_ONLY_NO_LOCKED_PERFORMANCE,outputs/phase3/tables/safe_temporal_split_context.csv,No locked-model temporal performance artifact
Global,family_group_holdout_F2_only,test,99169,0.3337232401254424,70545.0,core blood-family connected group,RUN,data/splits/split_family_group_robustness.parquet,Performance evaluated only for F2 structural comparator
Global,family_group_holdout_F2_only,train,462786,0.33371147787530303,329107.0,core blood-family connected group,RUN,data/splits/split_family_group_robustness.parquet,Performance evaluated only for F2 structural comparator
Global,family_group_holdout_F2_only,validation,99169,0.3337232401254424,70539.0,core blood-family connected group,RUN,data/splits/split_family_group_robustness.parquet,Performance evaluated only for F2 structural comparator
Ming,family_group_holdout_F2_only,test,33810,0.19926057379473527,18827.0,core blood-family connected group,RUN,data/splits/split_family_group_robustness.parquet,Performance evaluated only for F2 structural comparator
Ming,family_group_holdout_F2_only,train,157783,0.19926734819340486,87790.0,core blood-family connected group,RUN,data/splits/split_family_group_robustness.parquet,Performance evaluated only for F2 structural comparator
Ming,family_group_holdout_F2_only,validation,33810,0.19926057379473527,18818.0,core blood-family connected group,RUN,data/splits/split_family_group_robustness.parquet,Performance evaluated only for F2 structural comparator
Global,matched_random,test,60115,0.5102220743574815,2478.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_random_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Global,matched_random,train,269363,0.5101702906486786,4030.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_random_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Global,matched_random,validation,60522,0.5101450712137735,2476.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_random_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Song,matched_random,test,8619,0.6797772363383223,357.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_random_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Song,matched_random,train,38628,0.6797400849124987,535.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_random_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Song,matched_random,validation,8698,0.6796964819498735,361.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_random_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Ming,matched_random,test,15819,0.3308047284910551,468.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_random_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Ming,matched_random,train,73271,0.3307720653464536,694.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_random_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Ming,matched_random,validation,16100,0.3307453416149068,468.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_random_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Global,matched_spatial,test,60115,0.4768526989935956,766.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_spatial_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Global,matched_spatial,train,269360,0.5273388773388773,3018.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_spatial_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Global,matched_spatial,validation,60525,0.4668814539446509,724.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_spatial_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Song,matched_spatial,test,8619,0.6207216614456433,68.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_spatial_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Song,matched_spatial,train,38628,0.7116858237547893,462.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_spatial_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Song,matched_spatial,validation,8698,0.5963439871234767,65.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_spatial_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Ming,matched_spatial,test,15819,0.3296668563120298,131.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_spatial_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Ming,matched_spatial,train,73271,0.336340434824146,519.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_spatial_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Ming,matched_spatial,validation,16100,0.3065217391304348,105.0,dynasty_code x historical prefecture_id,RUN,outputs/phase2_6/tables/matched_spatial_split_summary.csv,identical reliable-prefecture population for random/spatial comparison
Global,source_connected_components,eligible,452035,,145.0,connected_components_of_explicit_primary_source_edges,SOURCE_GROUP_CONFIRMATION_NOT_FEASIBLE,outputs/phase3/tables/source_holdout_status.json,largest component=448632 (99.247182%)
