dynasty_code,dynasty,dynasty_chn,n_people,n_positive,target_rate
20.0,Qing,清,237423,129499,0.5454357833908257
19.0,Ming,明,225403,44915,0.19926531590085314
15.0,Song,宋,83373,40247,0.4827342185119883
6.0,Tang,唐,57477,1824,0.03173443290359622
18.0,Yuan,元,25310,2331,0.09209798498617147
0.0,unknown,未詳,9404,52,0.00552956188855806
21.0,Republic of China,中華民國,4686,482,0.10285958173282117
84.0,Choson,朝鮮,2649,0,0.0
4.0,NanBei Chao,南北朝,1829,1,0.0005467468562055768
,[NULL/unmapped],[NULL/unmapped],1584,478,0.30176767676767674
58.0,Korea,韓國,1395,1,0.0007168458781362007
7.0,Five Dynasties,五代,1346,102,0.07578008915304606
30.0,Northern Wei,北魏,1011,51,0.050445103857566766
17.0,Jin,金,799,79,0.09887359198998748
5.0,Sui,隋,742,60,0.08086253369272237
28.0,Song (Liu),宋(劉),478,4,0.008368200836820083
77.0,Zhou (Wu Zetian),周,461,13,0.028199566160520606
25.0,Eastern Han,東漢,438,48,0.1095890410958904
27.0,Eastern Jin,東晉,404,19,0.04702970297029703
14.0,Koryo,高麗,399,1,0.002506265664160401
29.0,Western Han,西漢,391,38,0.09718670076726342
23.0,Western Jin,西晉,386,19,0.04922279792746114
44.0,Southern Liang,南梁,365,17,0.04657534246575343
16.0,Liao,遼,341,14,0.04105571847507331
31.0,Northern Zhou,北周,288,23,0.0798611111111111
10.0,Southern Tang (10 states),南唐,277,39,0.1407942238267148
32.0,Southern Qi,南齊,264,10,0.03787878787878788
52.0,Later Han (5 dynasties),後漢,250,5,0.02
26.0,SanGuo Wei,三國魏,191,16,0.08376963350785341
24.0,Chen,陳,178,19,0.10674157303370786
2.0,QinHan,秦漢,139,2,0.014388489208633094
11.0,WuYue (10 states),吳越,137,21,0.15328467153284672
35.0,Northern Qi,北齊,116,2,0.017241379310344827
1.0,Pre-Han,漢前,111,2,0.018018018018018018
12.0,Min (10 states),閩國,101,9,0.0891089108910891
42.0,SanGuo Wu,三國吳,99,19,0.1919191919191919
47.0,Later Tang (5 dynasties),後唐,92,14,0.15217391304347827
8.0,Later Shu (10 states),後蜀,81,16,0.19753086419753085
49.0,Later Zhou (5 dynasties),後周,69,8,0.11594202898550725
36.0,Wu (Yang: 10 states),吳(楊),60,31,0.5166666666666667
48.0,Later Jin (5 dynasties),後晉,50,4,0.08
40.0,Western Wei,西魏,45,7,0.15555555555555556
41.0,Eastern Wei,東魏,45,9,0.2
53.0,SanGuo Shu,三國蜀,43,2,0.046511627906976744
34.0,Later Liang (5 dynasties),後梁,42,8,0.19047619047619047
22.0,People's Republic of China,中華人民共和國,35,3,0.08571428571428572
65.0,Former Qin (16 states),前秦,25,8,0.32
3.0,SanGuo,三國,24,0,0.0
9.0,Wu,吳,24,2,0.08333333333333333
75.0,Former Shu (10 states),前蜀,21,2,0.09523809523809523
13.0,Southern Han (10 states),南漢,19,8,0.42105263157894735
45.0,Later Qin (16 states),後秦,19,2,0.10526315789473684
61.0,Ying Qin,贏秦,16,4,0.25
64.0,Later Zhao (16 states),後趙,16,7,0.4375
39.0,Former Yan (16 states),前燕,15,3,0.2
68.0,Eastern Liang (North. Dy),東梁,14,1,0.07142857142857142
78.0,Western Xia,西夏,14,0,0.0
56.0,Western Liang (16 states),西涼,12,2,0.16666666666666666
46.0,Xin (Wang Mang),新,11,4,0.36363636363636365
38.0,Chu (Ma:10 states),楚(馬),10,1,0.1
57.0,Qi (Wei Qi),偽齊,10,2,0.2
63.0,Later Yan (16 states),後燕,9,2,0.2222222222222222
51.0,Former Liang (16 states),前涼,8,4,0.5
55.0,Nanping (10 states),南平,7,6,0.8571428571428571
72.0,Western Qin (16 states),西秦,7,0,0.0
50.0,Southern Yan (16 states),南燕,5,1,0.2
67.0,Xinluo (Korea),新羅,4,0,0.0
73.0,Later Liang (16 states),後涼,4,0,0.0
79.0,Northern Yuan,北元,4,0,0.0
81.0,Zheng (Wang Shichong),鄭（王世充）,4,0,0.0
37.0,Western Liang,西梁,3,2,0.6666666666666666
66.0,Northern Han (10 states),北漢,3,0,0.0
59.0,Qara-Khitay,西遼,2,1,0.5
87.0,Dai (16 states),代,2,1,0.5
60.0,Northern Yan (16 states),北燕,1,0,0.0
62.0,Northern Liang (16 states,北涼,1,0,0.0
69.0,Former Zhao (16 states),前趙,1,0,0.0
76.0,Western Yan (16 states),西燕,1,0,0.0
82.0,Jin,晉,1,0,0.0
