citation_key,title,authors,year,venue,doi_or_official_url,verification_status,claim_supported,section_used,notes
cbdb2026,China Biographical Database Project (CBDB),Harvard University; Academia Sinica; Peking University,2026,China Biographical Database Project,https://cbdb.hsites.harvard.edu/,VERIFIED,"Project identity, access route, and official data-use context.",Introduction; Data Availability,Official project page checked on 2026-09-01; used only for project and access facts.
fuller2024,The China Biographical Database User's Guide,Michael A. Fuller,2024,China Biographical Database Project,https://cbdb-project.github.io/cbdb-user-guide/,VERIFIED,"CBDB schema, query, export, and analysis capabilities.",Data and Measurement Problem; Data Availability,Official living project guide checked; not used as evidence for broad methodological claims.
tsui2020harvesting,Harvesting Big Biographical Data for Chinese History: The China Biographical Database (CBDB),Lik Hang Tsui; Hongsu Wang,2020,Journal of Chinese History 4(2):505--511,10.1017/jch.2020.21,VERIFIED,CBDB data harvesting and historical research uses.,Introduction; Related Work,Crossref record and publisher abstract agree.
fullerwang2021networks,"Structuring, Recording, and Analyzing Historical Networks in the China Biographical Database",Michael Fuller; Hongsu Wang,2021,Journal of Historical Network Research 5(1):248--270,10.25517/jhnr.v5i1.123,VERIFIED,CBDB's prosopographical network structures and extraction from historical corpora.,Introduction; Related Work,"Crossref lookup unavailable; journal page independently verifies title, authors, year, volume, issue, pages, DOI, and peer-review status."
chenwang2022cbdb,China Biographical Database (CBDB): A Relational Database for Prosopographical Research of Pre-Modern China,Song Chen; Hongsu Wang,2022,Journal of Open Humanities Data 8:4,10.5334/johd.68,VERIFIED,"CBDB's relational design, heterogeneous sources, disambiguation, and analytic exports.",Introduction; Related Work; Data and Measurement Problem,Crossref metadata and publisher data-paper page agree.
bol2012gis,"GIS, Prosopography and History",Peter K. Bol,2012,Annals of GIS 18(1):3--15,10.1080/19475683.2011.647077,VERIFIED,Person-traceable spatial aggregation of CBDB prosopographical records.,Related Work,"Crossref metadata and publisher full text agree; DOI registration year differs from volume year, so the journal volume year 2012 is retained."
prokhorenkova2018catboost,CatBoost: Unbiased Boosting with Categorical Features,Liudmila Prokhorenkova; Gleb Gusev; Aleksandr Vorobev; Anna Veronika Dorogush; Andrey Gulin,2018,Advances in Neural Information Processing Systems 31,https://proceedings.neurips.cc/paper/2018/hash/14491b756b3a51daac41c24863285549-Abstract.html,VERIFIED,CatBoost categorical-feature handling and ordered target-statistic method.,Related Work; Models,Official NeurIPS proceedings metadata and paper checked.
grinsztajn2022tabular,Why Do Tree-Based Models Still Outperform Deep Learning on Typical Tabular Data?,Léo Grinsztajn; Edouard Oyallon; Gaël Varoquaux,2022,Advances in Neural Information Processing Systems 35:507--520,10.52202/068431-0037,VERIFIED,Tree ensembles as strong baselines on typical medium-sized tabular datasets.,Related Work,Crossref record and official NeurIPS proceedings page agree.
roberts2017cv,"Cross-Validation Strategies for Data with Temporal, Spatial, Hierarchical, or Phylogenetic Structure",David R. Roberts; Volker Bahn; Simone Ciuti; Mark S. Boyce; Jane Elith; Gurutzeta Guillera-Arroita; Severin Hauenstein; José J. Lahoz-Monfort; Boris Schröder; Wilfried Thuiller; David I. Warton; Brendan A. Wintle; Florian Hartig; Carsten F. Dormann,2017,Ecography 40(8):913--929,10.1111/ecog.02881,VERIFIED,Random validation can underestimate error under dependence; blocked validation targets structured generalization.,Related Work; Evaluation Protocol,"Crossref author list, metadata, abstract, and publisher full text agree."
koh2021wilds,WILDS: A Benchmark of in-the-Wild Distribution Shifts,Pang Wei Koh; Shiori Sagawa; Henrik Marklund; Sang Michael Xie; Marvin Zhang; Akshay Balsubramani; Weihua Hu; Michihiro Yasunaga; Richard Lanas Phillips; Irena Gao; Tony Lee; Etienne David; Ian Stavness; Wei Guo; Berton Earnshaw; Imran Haque; Sara Beery; Jure Leskovec; Anshul Kundaje; Emma Pierson; Sergey Levine; Chelsea Finn; Percy Liang,2021,Proceedings of Machine Learning Research 139:5637--5664,https://proceedings.mlr.press/v139/koh21a.html,VERIFIED,Evaluation under naturally occurring distribution shifts.,Related Work; Evaluation Protocol,"Official PMLR page, abstract, pages, and complete author order checked."
